y,x,osmid,highway,ref,geometry
40.7341463,-73.9991816,42421889,traffic_signals,,POINT (-73.9991816 40.7341463)
40.843443,-73.9416398,42427143,traffic_signals,,POINT (-73.9416398 40.843443)
40.7460455,-73.9886122,42427787,traffic_signals,,POINT (-73.98861220000001 40.7460455)
40.746659,-73.990067,42427797,traffic_signals,,POINT (-73.990067 40.746659)
40.7478553,-73.9929106,42427805,traffic_signals,,POINT (-73.9929106 40.7478553)
40.7526457,-74.0042703,42427824,traffic_signals,,POINT (-74.0042703 40.7526457)
40.7430463,-73.9891667,42428212,traffic_signals,,POINT (-73.9891667 40.7430463)
40.7452886,-73.9887531,42428223,traffic_signals,,POINT (-73.9887531 40.7452886)
40.7594263,-73.9851384,42428303,traffic_signals,,POINT (-73.9851384 40.7594263)
40.7726643,-73.9822975,42428588,,,POINT (-73.9822975 40.7726643)
40.842436,-73.939255,42428984,traffic_signals,,POINT (-73.939255 40.842436)
40.8655306,-73.9272714,42429215,traffic_signals,,POINT (-73.9272714 40.8655306)
40.735313,-73.994118,42429373,traffic_signals,,POINT (-73.994118 40.735313)
40.736668,-73.997341,42429374,traffic_signals,,POINT (-73.99734100000001 40.736668)
40.7378614,-74.0001742,42429375,traffic_signals,,POINT (-74.0001742 40.7378614)
40.736032,-73.997805,42430249,traffic_signals,,POINT (-73.997805 40.736032)
40.7448072,-73.9914152,42430277,traffic_signals,,POINT (-73.99141520000001 40.7448072)
40.7485163,-73.9887,42430295,traffic_signals,,POINT (-73.98869999999999 40.7485163)
40.7504635,-73.9872829,42430308,traffic_signals,,POINT (-73.9872829 40.7504635)
40.7690142,-73.9923444,42430739,traffic_signals,,POINT (-73.99234439999999 40.7690142)
40.7294709,-74.0051447,42430761,traffic_signals,,POINT (-74.0051447 40.7294709)
40.730321,-74.004688,42430770,traffic_signals,,POINT (-74.004688 40.730321)
40.730719,-74.00446,42430782,traffic_signals,,POINT (-74.00445999999999 40.730719)
40.7311289,-74.0042257,42430791,traffic_signals,,POINT (-74.00422570000001 40.7311289)
40.7318924,-74.0037892,42430796,,,POINT (-74.0037892 40.7318924)
40.7332265,-74.0030292,42430803,traffic_signals,,POINT (-74.0030292 40.7332265)
40.7336094,-74.0028114,42430805,traffic_signals,,POINT (-74.0028114 40.7336094)
40.7343413,-74.002395,42430811,traffic_signals,,POINT (-74.00239500000001 40.7343413)
40.7350834,-74.0019682,42430813,traffic_signals,,POINT (-74.00196819999999 40.7350834)
40.7357944,-74.0015452,42430824,traffic_signals,,POINT (-74.0015452 40.7357944)
40.736564,-74.001095,42430828,traffic_signals,,POINT (-74.00109500000001 40.736564)
40.7272967,-73.9936333,42431165,traffic_signals,,POINT (-73.9936333 40.7272967)
40.7216919,-73.9892727,42432057,traffic_signals,,POINT (-73.9892727 40.7216919)
40.7216077,-73.9889948,42432060,traffic_signals,,POINT (-73.9889948 40.7216077)
40.8381008,-73.9362457,42432218,,,POINT (-73.9362457 40.8381008)
40.842261,-73.9388329,42433041,traffic_signals,,POINT (-73.93883289999999 40.842261)
40.731856,-73.996639,42433354,,,POINT (-73.996639 40.731856)
40.714317,-73.9871695,42433551,traffic_signals,,POINT (-73.98716949999999 40.714317)
40.8404757,-73.9353154,42435197,,,POINT (-73.93531539999999 40.8404757)
40.748469,-73.992463,42435420,traffic_signals,,POINT (-73.992463 40.748469)
40.7446233,-73.9852457,42436746,traffic_signals,,POINT (-73.98524569999999 40.7446233)
40.7439209,-73.9835731,42436748,traffic_signals,,POINT (-73.9835731 40.7439209)
40.7345291,-73.9922554,42436935,traffic_signals,,POINT (-73.9922554 40.7345291)
40.733528,-73.989868,42436939,traffic_signals,,POINT (-73.989868 40.733528)
40.729725,-73.980858,42436944,traffic_signals,,POINT (-73.980858 40.729725)
40.728746,-73.978536,42436947,traffic_signals,,POINT (-73.97853600000001 40.728746)
40.7560361,-73.9869489,42437363,traffic_signals,,POINT (-73.9869489 40.7560361)
40.7130902,-73.9850592,42437773,traffic_signals,,POINT (-73.98505919999999 40.7130902)
40.7415497,-73.9895958,42437881,traffic_signals,,POINT (-73.9895958 40.7415497)
40.734672,-73.994585,42439070,traffic_signals,,POINT (-73.994585 40.734672)
40.7372222,-74.0006278,42439073,traffic_signals,,POINT (-74.0006278 40.7372222)
40.7747952,-73.9844165,42439464,traffic_signals,,POINT (-73.98441649999999 40.7747952)
40.7460045,-73.9942616,42439842,traffic_signals,,POINT (-73.9942616 40.7460045)
40.7585867,-73.9850867,42439990,traffic_signals,,POINT (-73.9850867 40.7585867)
40.7592102,-73.9846299,42439994,traffic_signals,,POINT (-73.9846299 40.7592102)
40.7159628,-73.9867058,42440408,traffic_signals,,POINT (-73.9867058 40.7159628)
40.756059,-73.961622,42440566,traffic_signals,,POINT (-73.96162200000001 40.756059)
40.7344391,-73.9899056,42440721,traffic_signals,,POINT (-73.9899056 40.7344391)
40.7678249,-73.9894995,42440966,traffic_signals,,POINT (-73.98949949999999 40.7678249)
40.7773032,-73.9826138,42442422,traffic_signals,,POINT (-73.9826138 40.7773032)
40.8029791,-73.9638597,42442569,traffic_signals,,POINT (-73.9638597 40.8029791)
40.723686,-73.996476,42445498,traffic_signals,,POINT (-73.996476 40.723686)
40.7659384,-73.9908697,42446363,traffic_signals,,POINT (-73.9908697 40.7659384)
40.732756,-73.990027,42446528,traffic_signals,,POINT (-73.990027 40.732756)
40.729086,-73.981325,42446552,traffic_signals,,POINT (-73.981325 40.729086)
40.728106,-73.978998,42446562,traffic_signals,,POINT (-73.978998 40.728106)
40.7271037,-73.9766295,42446571,traffic_signals,,POINT (-73.9766295 40.7271037)
40.7428254,-73.9886534,42453624,traffic_signals,,POINT (-73.9886534 40.7428254)
40.7120089,-74.0081091,272195270,traffic_signals,,POINT (-74.0081091 40.7120089)
40.7179497,-73.9866261,486867548,traffic_signals,,POINT (-73.9866261 40.7179497)
40.7193292,-73.9904805,486868873,traffic_signals,,POINT (-73.9904805 40.7193292)
40.836532,-73.9488318,587934172,,,POINT (-73.94883179999999 40.836532)
40.7371659,-73.9741838,589100164,,,POINT (-73.97418380000001 40.7371659)
40.8408038,-73.9354605,765367023,,,POINT (-73.9354605 40.8408038)
40.8616359,-73.9247646,1764400286,traffic_signals,,POINT (-73.9247646 40.8616359)
40.7677416,-73.9821625,1825841704,traffic_signals,,POINT (-73.9821625 40.7677416)
40.7665696,-73.9865684,2351532377,,,POINT (-73.9865684 40.7665696)
40.740688,-73.9759109,2704112780,,,POINT (-73.9759109 40.740688)
40.7191283,-73.9903635,3212472816,,,POINT (-73.9903635 40.7191283)
40.722825,-73.9888376,3212472830,crossing,,POINT (-73.9888376 40.722825)
40.7191862,-73.9905533,3212472843,traffic_signals,,POINT (-73.9905533 40.7191862)
40.7176436,-73.9858048,3630249566,traffic_signals,,POINT (-73.9858048 40.7176436)
40.7416033,-73.9780724,3817756015,,,POINT (-73.9780724 40.7416033)
40.7307023,-73.9831802,3834459527,,,POINT (-73.98318020000001 40.7307023)
40.7300646,-73.9836439,3834459543,,,POINT (-73.9836439 40.7300646)
40.7271247,-73.9937683,4202984496,,,POINT (-73.9937683 40.7271247)
40.7296573,-73.9916165,4202984497,,,POINT (-73.99161650000001 40.7296573)
40.7306923,-73.9905994,4234425009,crossing,,POINT (-73.99059939999999 40.7306923)
40.7337334,-74.0027408,4320028826,,,POINT (-74.0027408 40.7337334)
