y,x,osmid,highway,geometry
45.5193213,-122.6738416,40391352,traffic_signals,POINT (-122.6738416 45.5193213)
45.5195505,-122.6737182,40408688,traffic_signals,POINT (-122.6737182 45.5195505)
45.5252758,-122.6724708,40450452,traffic_signals,POINT (-122.6724708 45.5252758)
45.5245579,-122.6724338,40508545,,POINT (-122.6724338 45.5245579)
45.5231958,-122.6723802,40516268,traffic_signals,POINT (-122.6723802 45.5231958)
45.5065906,-122.6721054,40544954,,POINT (-122.6721054 45.5065906)
45.5238518,-122.6724035,40558982,,POINT (-122.6724035 45.5238518)
45.5294774,-122.5619416,40579130,,POINT (-122.5619416 45.5294774)
45.5199908,-122.6734771,40616237,traffic_signals,POINT (-122.6734771 45.5199908)
45.5225376,-122.6722603,40628220,,POINT (-122.6722603 45.5225376)
45.521991,-122.6723926,40728855,,POINT (-122.6723926 45.521991)
45.5627485,-122.6060893,40738351,,POINT (-122.6060893 45.5627485)
45.5230956,-122.6723768,1334933390,traffic_signals,POINT (-122.6723768 45.5230956)
45.5627482,-122.6068864,1431497312,crossing,POINT (-122.6068864 45.5627482)
45.5213227,-122.6727566,5077562549,traffic_signals,POINT (-122.6727566 45.5213227)
45.5206569,-122.6731198,5077562553,traffic_signals,POINT (-122.6731198 45.5206569)
45.5062044,-122.671293,6975359585,,POINT (-122.671293 45.5062044)
45.5370681,-122.6870189,40415941,,POINT (-122.6870189 45.5370681)
45.5388972,-122.6901561,40415947,,POINT (-122.6901561 45.5388972)
45.5093494,-122.6850269,40420939,traffic_signals,POINT (-122.6850269 45.5093494)
45.5446585,-122.668049,40437948,,POINT (-122.668049 45.5446585)
45.5735133,-122.7033767,40446734,,POINT (-122.7033767 45.5735133)
45.5113458,-122.6839456,40455552,traffic_signals,POINT (-122.6839456 45.5113458)
45.5307909,-122.6647225,40460108,traffic_signals,POINT (-122.6647225 45.5307909)
45.5349226,-122.6927171,40467117,,POINT (-122.6927171 45.5349226)
45.5307943,-122.6657825,40467589,traffic_signals,POINT (-122.6657825 45.5307943)
45.5042625,-122.5538385,40473403,,POINT (-122.5538385 45.5042625)
45.5341823,-122.6926919,40474179,,POINT (-122.6926919 45.5341823)
45.5605687,-122.5963391,40491336,,POINT (-122.5963391 45.5605687)
45.5140122,-122.6825013,40503125,traffic_signals,POINT (-122.6825013 45.5140122)
45.5307942,-122.6637198,40515344,,POINT (-122.6637198 45.5307942)
45.5582081,-122.598546,40520354,,POINT (-122.598546 45.5582081)
45.5314867,-122.6545973,40535264,traffic_signals,POINT (-122.6545973 45.5314867)
45.5379726,-122.6885821,40536237,traffic_signals,POINT (-122.6885821 45.5379726)
45.5312906,-122.662513,40542408,,POINT (-122.662513 45.5312906)
45.5315035,-122.6596445,40542422,,POINT (-122.6596445 45.5315035)
45.5315005,-122.6586087,40542425,traffic_signals,POINT (-122.6586087 45.5315005)
45.5314934,-122.6565967,40542428,traffic_signals,POINT (-122.6565967 45.5314934)
45.531482,-122.6525436,40542432,traffic_signals,POINT (-122.6525436 45.531482)
45.5314705,-122.6494832,40542436,traffic_signals,POINT (-122.6494832 45.5314705)
45.5613914,-122.5955052,40543151,,POINT (-122.5955052 45.5613914)
45.5566385,-122.5998706,40561186,,POINT (-122.5998706 45.5566385)
45.5106789,-122.6843068,40567411,traffic_signals,POINT (-122.6843068 45.5106789)
45.5554659,-122.6008915,40576170,traffic_signals,POINT (-122.6008915 45.5554659)
45.5328315,-122.6797764,40621325,traffic_signals,POINT (-122.6797764 45.5328315)
45.5120233,-122.6835786,40629135,traffic_signals,POINT (-122.6835786 45.5120233)
45.512679,-122.6832235,40629140,traffic_signals,POINT (-122.6832235 45.512679)
45.5042447,-122.5530909,40637562,,POINT (-122.5530909 45.5042447)
45.5363271,-122.6857272,40642569,traffic_signals,POINT (-122.6857272 45.5363271)
45.5600246,-122.5968936,40650667,,POINT (-122.5968936 45.5600246)
45.5596332,-122.5972889,40650676,,POINT (-122.5972889 45.5596332)
45.5355372,-122.6927426,40652732,stop,POINT (-122.6927426 45.5355372)
45.5133427,-122.6828639,40676427,traffic_signals,POINT (-122.6828639 45.5133427)
45.5100136,-122.6846671,40676435,traffic_signals,POINT (-122.6846671 45.5100136)
45.5590997,-122.5977924,40723261,,POINT (-122.5977924 45.5590997)
45.5321558,-122.6371023,40728505,,POINT (-122.6371023 45.5321558)
45.5231351,-122.6715973,155699810,,POINT (-122.6715973 45.5231351)
45.5366433,-122.686291,1306369409,crossing,POINT (-122.686291 45.5366433)
45.5732321,-122.7029181,1395238927,,POINT (-122.7029181 45.5732321)
45.5731849,-122.7028411,1395241889,crossing,POINT (-122.7028411 45.5731849)
45.5612658,-122.5956285,1546343805,,POINT (-122.5956285 45.5612658)
