y,x,osmid,highway,ref,geometry
55.6822612,12.5821846,125408,,,POINT (12.5821846 55.6822612)
55.6819386,12.5834527,125409,,,POINT (12.5834527 55.6819386)
55.6811267,12.5604964,375465,traffic_signals,,POINT (12.5604964 55.6811267)
55.6529209,12.5204607,576709,,,POINT (12.5204607 55.6529209)
55.6558588,12.5121679,576713,traffic_signals,,POINT (12.5121679 55.6558588)
55.6704769,12.5575675,697537,traffic_signals,,POINT (12.5575675 55.6704769)
55.6805493,12.5870075,697822,traffic_signals,,POINT (12.5870075 55.6805493)
55.6876112,12.5928421,698029,traffic_signals,,POINT (12.5928421 55.6876112)
55.6549506,12.5942101,698683,traffic_signals,,POINT (12.5942101 55.6549506)
55.682674,12.580712,706815,traffic_signals,,POINT (12.580712 55.682674)
55.6675501,12.5442947,792009,traffic_signals,,POINT (12.5442947 55.6675501)
55.6683923,12.5447779,792010,,,POINT (12.5447779 55.6683923)
55.6860663,12.5836301,6503260,traffic_signals,,POINT (12.5836301 55.6860663)
55.6772756,12.5844851,6503284,traffic_signals,,POINT (12.5844851 55.6772756)
55.6757127,12.5631953,7224402,traffic_signals,,POINT (12.5631953 55.6757127)
55.6694847,12.545417,7235771,,,POINT (12.545417 55.6694847)
55.6794386,12.5911737,7244208,traffic_signals,,POINT (12.5911737 55.6794386)
55.7079673,12.5773192,7712481,,,POINT (12.5773192 55.7079673)
55.7079642,12.5786143,7712484,,,POINT (12.5786143 55.7079642)
55.7079844,12.586615,7712502,,,POINT (12.586615 55.7079844)
55.7082701,12.5874133,7712505,,,POINT (12.5874133 55.7082701)
55.7088023,12.5886238,7712508,,,POINT (12.5886238 55.7088023)
55.7085322,12.5880101,7712509,,,POINT (12.5880101 55.7085322)
55.6672883,12.5788078,7726662,,,POINT (12.5788078 55.6672883)
55.6753672,12.5619623,7726672,traffic_signals,,POINT (12.5619623 55.6753672)
55.6800345,12.5889584,7741066,,,POINT (12.5889584 55.6800345)
55.6818842,12.5836664,8078448,,,POINT (12.5836664 55.6818842)
55.6785724,12.5831453,8078455,traffic_signals,,POINT (12.5831453 55.6785724)
55.7010855,12.5396234,8078531,traffic_signals,,POINT (12.5396234 55.7010855)
55.6778559,12.5837217,8453809,,,POINT (12.5837217 55.6778559)
55.6781554,12.5834881,8453814,,,POINT (12.5834881 55.6781554)
55.6949086,12.5775064,8538443,,,POINT (12.5775064 55.6949086)
55.6945663,12.5768222,8538444,,,POINT (12.5768222 55.6945663)
55.6939322,12.5758705,8538447,,,POINT (12.5758705 55.6939322)
55.6936227,12.5756233,8538448,,,POINT (12.5756233 55.6936227)
55.6926328,12.5746304,8538452,,,POINT (12.5746304 55.6926328)
55.6923919,12.5742463,8538456,,,POINT (12.5742463 55.6923919)
55.691852,12.5733748,8538462,,,POINT (12.5733748 55.691852)
55.6915902,12.5729594,8538463,,,POINT (12.5729594 55.6915902)
55.6687498,12.5171345,10776943,,,POINT (12.5171345 55.6687498)
55.7022929,12.5402597,12729145,,,POINT (12.5402597 55.7022929)
55.7079637,12.5857257,17343195,traffic_signals,,POINT (12.5857257 55.7079637)
55.6690811,12.5171144,20908184,,,POINT (12.5171144 55.6690811)
55.6533623,12.5185482,20908382,,,POINT (12.5185482 55.6533623)
55.6821218,12.5827022,20919946,,,POINT (12.5827022 55.6821218)
55.6890903,12.5574911,20925445,traffic_signals,,POINT (12.5574911 55.6890903)
55.6901769,12.5595158,20925446,,,POINT (12.5595158 55.6901769)
55.6897876,12.5583621,20925448,,,POINT (12.5583621 55.6897876)
55.6997524,12.564604,20930134,,,POINT (12.564604 55.6997524)
55.7024741,12.5633542,21556600,,,POINT (12.5633542 55.7024741)
55.7047823,12.5659601,24609833,traffic_signals,,POINT (12.5659601 55.7047823)
55.6988469,12.5660739,24670659,,,POINT (12.5660739 55.6988469)
55.6814418,12.58529,268690821,traffic_signals,,POINT (12.58529 55.6814418)
55.6808658,12.5873438,268690828,traffic_signals,,POINT (12.5873438 55.6808658)
55.7079669,12.5774784,296206896,,,POINT (12.5774784 55.7079669)
55.6913183,12.572491,298497229,,,POINT (12.572491 55.6913183)
55.6690465,12.5451569,298870617,,,POINT (12.5451569 55.6690465)
55.6681471,12.5446267,298870636,,,POINT (12.5446267 55.6681471)
55.6820431,12.5809251,300094233,,,POINT (12.5809251 55.6820431)
55.6543333,12.5160828,411612576,,,POINT (12.5160828 55.6543333)
55.6848531,12.5826212,1026688239,,,POINT (12.5826212 55.6848531)
55.6721452,12.5671759,1181499809,,,POINT (12.5671759 55.6721452)
55.6730548,12.566294,1181499859,,,POINT (12.566294 55.6730548)
55.6997125,12.5382583,1552939204,traffic_signals,,POINT (12.5382583 55.6997125)
55.6763109,12.5693469,1574166954,,,POINT (12.5693469 55.6763109)
55.6668682,12.5799957,1598991179,,,POINT (12.5799957 55.6668682)
55.6532085,12.5189303,1783390939,traffic_signals,,POINT (12.5189303 55.6532085)
55.6977355,12.5678696,2255813399,,,POINT (12.5678696 55.6977355)
55.7055485,12.5645233,2327477960,,,POINT (12.5645233 55.7055485)
55.6616318,12.5568836,3626959237,,,POINT (12.5568836 55.6616318)
55.7056117,12.5638624,3629166665,,,POINT (12.5638624 55.7056117)
55.681231,12.5605686,3676767770,,,POINT (12.5605686 55.681231)
55.679,12.5928556,4288438529,,,POINT (12.5928556 55.679)
55.6906615,12.5602542,4555480821,,,POINT (12.5602542 55.6906615)
55.6723299,12.5556402,4876445689,traffic_signals,,POINT (12.5556402 55.6723299)
55.656331,12.5930403,5114643216,traffic_signals,,POINT (12.5930403 55.656331)
55.6817617,12.5610711,5490694557,,,POINT (12.5610711 55.6817617)
55.6723417,12.5670563,6359420314,,,POINT (12.5670563 55.6723417)
55.6772757,12.5801493,6943466010,,,POINT (12.5801493 55.6772757)
