y,x,osmid,highway,ref,geometry
-34.5466354,-58.4930291,32375714,motorway_junction,,POINT (-58.4930291 -34.5466354)
-34.5488664,-58.4981117,32375716,,,POINT (-58.4981117 -34.5488664)
-34.5661854,-58.5077492,32375722,motorway_junction,,POINT (-58.5077492 -34.5661854)
-34.5966672,-58.5220989,32376362,,,POINT (-58.5220989 -34.5966672)
-34.5993425,-58.5232246,32376363,,,POINT (-58.5232246 -34.5993425)
-34.6010068,-58.5242215,32376364,,,POINT (-58.5242215 -34.6010068)
-34.6164762,-58.5309913,32376366,,,POINT (-58.5309913 -34.6164762)
-34.6238681,-58.5305689,32376368,,,POINT (-58.5305689 -34.6238681)
-34.6458946,-58.5292808,32376373,,,POINT (-58.5292808 -34.6458946)
-34.6525604,-58.5287939,32376374,,,POINT (-58.5287939 -34.6525604)
-34.6530796,-58.5286503,32376375,,,POINT (-58.5286503 -34.6530796)
-34.6543921,-58.5279823,32376376,motorway_junction,,POINT (-58.5279823 -34.6543921)
-34.6549693,-58.5274907,32376377,,,POINT (-58.5274907 -34.6549693)
-34.6557869,-58.5265944,32376378,,,POINT (-58.5265944 -34.6557869)
-34.6586687,-58.5227712,32376379,,,POINT (-58.5227712 -34.6586687)
-34.6630414,-58.516978,32376380,,,POINT (-58.516978 -34.6630414)
-34.6743599,-58.5020056,32376382,,,POINT (-58.5020056 -34.6743599)
-34.6825612,-58.4911452,32376383,,,POINT (-58.4911452 -34.6825612)
-34.703379,-58.4630338,32376952,,,POINT (-58.4630338 -34.703379)
-34.6550271,-58.5272514,32376958,,,POINT (-58.5272514 -34.6550271)
-34.654482,-58.5277412,32376959,,,POINT (-58.5277412 -34.654482)
-34.6534584,-58.528343,32376960,,,POINT (-58.528343 -34.6534584)
-34.6528804,-58.5285684,32376961,motorway_junction,,POINT (-58.5285684 -34.6528804)
-34.6239028,-58.5304056,32376963,,,POINT (-58.5304056 -34.6239028)
-34.6166014,-58.5308239,32376964,,,POINT (-58.5308239 -34.6166014)
-34.6055456,-58.5261856,32376965,,,POINT (-58.5261856 -34.6055456)
-34.599252,-58.5230177,32376966,,,POINT (-58.5230177 -34.599252)
-34.5966872,-58.5219499,32376967,,,POINT (-58.5219499 -34.5966872)
-34.5845893,-58.5163363,32376969,motorway_junction,,POINT (-58.5163363 -34.5845893)
-34.567906,-58.5083683,32376971,,,POINT (-58.5083683 -34.567906)
-34.5508889,-58.5004178,32376974,,,POINT (-58.5004178 -34.5508889)
-34.5391124,-58.4762049,32376978,,,POINT (-58.4762049 -34.5391124)
-34.534814,-58.4657763,32376979,,,POINT (-58.4657763 -34.534814)
-34.5457559,-58.4910666,32378233,motorway_junction,,POINT (-58.4910666 -34.5457559)
-34.5459336,-58.4916775,32378234,,,POINT (-58.4916775 -34.5459336)
-34.546138,-58.4923444,32378235,,,POINT (-58.4923444 -34.546138)
-34.5461812,-58.4932174,32378236,,,POINT (-58.4932174 -34.5461812)
-34.546731,-58.4938884,32378742,,,POINT (-58.4938884 -34.546731)
-34.54754,-58.4955219,32378807,,,POINT (-58.4955219 -34.54754)
-34.547681,-58.4936983,32379061,,,POINT (-58.4936983 -34.547681)
-34.5476493,-58.493577,32379062,,,POINT (-58.493577 -34.5476493)
-34.5475422,-58.493325,32379063,,,POINT (-58.493325 -34.5475422)
-34.5473178,-58.493082,32379064,,,POINT (-58.493082 -34.5473178)
-34.5465123,-58.4933366,32379065,,,POINT (-58.4933366 -34.5465123)
-34.5346314,-58.4645533,32381782,,,POINT (-58.4645533 -34.5346314)
-34.5347297,-58.4639633,32381783,,,POINT (-58.4639633 -34.5347297)
-34.5892373,-58.3817723,32382071,,,POINT (-58.3817723 -34.5892373)
-34.5915898,-58.3820534,32382072,traffic_signals,,POINT (-58.3820534 -34.5915898)
-34.6061313,-58.3817206,32382075,traffic_signals,,POINT (-58.3817206 -34.6061313)
-34.622156,-58.3809829,32382078,traffic_signals,,POINT (-58.3809829 -34.622156)
-34.5391016,-58.4573112,32382082,,,POINT (-58.4573112 -34.5391016)
-34.5405169,-58.4541853,32382083,,,POINT (-58.4541853 -34.5405169)
-34.5410651,-58.4522844,32382084,,,POINT (-58.4522844 -34.5410651)
-34.5602167,-58.4191863,32382090,,,POINT (-58.4191863 -34.5602167)
-34.561409,-58.4178549,32382091,motorway_junction,,POINT (-58.4178549 -34.561409)
-34.5647027,-58.4127517,32382093,,,POINT (-58.4127517 -34.5647027)
-34.5833724,-58.3805759,32382101,,,POINT (-58.3805759 -34.5833724)
-34.5851274,-58.3799444,32382102,,,POINT (-58.3799444 -34.5851274)
-34.5855458,-58.3800802,32382103,,,POINT (-58.3800802 -34.5855458)
-34.6221495,-58.3807816,32382578,traffic_signals,,POINT (-58.3807816 -34.6221495)
-34.6002453,-58.3815896,32382580,traffic_signals,,POINT (-58.3815896 -34.6002453)
-34.5895296,-58.3816231,32382582,,,POINT (-58.3816231 -34.5895296)
-34.5857638,-58.3799773,32382583,,,POINT (-58.3799773 -34.5857638)
-34.5850605,-58.3797489,32382584,,,POINT (-58.3797489 -34.5850605)
-34.5832451,-58.380454,32382585,,,POINT (-58.380454 -34.5832451)
-34.5784381,-58.389018,32382588,,,POINT (-58.389018 -34.5784381)
-34.5582621,-58.4104104,32382594,,,POINT (-58.4104104 -34.5582621)
-34.5558803,-58.4140561,32382595,,,POINT (-58.4140561 -34.5558803)
-34.5549059,-58.4164602,32382596,,,POINT (-58.4164602 -34.5549059)
-34.5538763,-58.420431,32382597,,,POINT (-58.420431 -34.5538763)
-34.5530358,-58.423833,32382598,,,POINT (-58.423833 -34.5530358)
-34.5508722,-58.4290878,32382600,,,POINT (-58.4290878 -34.5508722)
-34.5508474,-58.4322278,32382602,,,POINT (-58.4322278 -34.5508474)
-34.5433232,-58.4468304,32382606,,,POINT (-58.4468304 -34.5433232)
-34.5420453,-58.4489398,32382607,speed_camera,Av. Intendente Cantilo (Ascendente),POINT (-58.4489398 -34.5420453)
-34.540529,-58.4518245,32382608,,,POINT (-58.4518245 -34.540529)
-34.5399604,-58.453741,32382609,,,POINT (-58.453741 -34.5399604)
-34.5386573,-58.4569402,32382610,,,POINT (-58.4569402 -34.5386573)
-34.534857,-58.4615144,32382612,,,POINT (-58.4615144 -34.534857)
-34.5343384,-58.4630358,32382613,,,POINT (-58.4630358 -34.5343384)
-34.5343194,-58.4639507,32382614,,,POINT (-58.4639507 -34.5343194)
-34.5344485,-58.464897,32382615,,,POINT (-58.464897 -34.5344485)
-34.5345853,-58.4654919,32382617,,,POINT (-58.4654919 -34.5345853)
-34.5954031,-58.3819655,32385175,traffic_signals,,POINT (-58.3819655 -34.5954031)
-34.5954389,-58.3824537,32385176,traffic_signals,,POINT (-58.3824537 -34.5954389)
-34.5489282,-58.4680956,32385179,traffic_signals,,POINT (-58.4680956 -34.5489282)
-34.5900119,-58.4089192,32385196,traffic_signals,,POINT (-58.4089192 -34.5900119)
-34.5952738,-58.3799501,32385206,traffic_signals,,POINT (-58.3799501 -34.5952738)
-34.5951591,-58.3785123,32385207,traffic_signals,,POINT (-58.3785123 -34.5951591)
-34.5624994,-58.4403703,32385596,,,POINT (-58.4403703 -34.5624994)
-34.5620952,-58.4423592,32385597,,,POINT (-58.4423592 -34.5620952)
-34.5383301,-58.4653171,32385604,traffic_signals,,POINT (-58.4653171 -34.5383301)
-34.6047619,-58.4036232,60636576,traffic_signals,,POINT (-58.4036232 -34.6047619)
-34.6040285,-58.4103041,60636725,traffic_signals,,POINT (-58.4103041 -34.6040285)
-34.5895174,-58.4681967,81537845,traffic_signals,,POINT (-58.4681967 -34.5895174)
-34.5886182,-58.4671697,81537846,,,POINT (-58.4671697 -34.5886182)
-34.5877275,-58.4662285,81537847,,,POINT (-58.4662285 -34.5877275)
-34.5868524,-58.4652771,81537848,,,POINT (-58.4652771 -34.5868524)
-34.585962,-58.4643592,81537849,,,POINT (-58.4643592 -34.585962)
-34.5850857,-58.4634524,81537850,traffic_signals,,POINT (-58.4634524 -34.5850857)
-34.5964215,-58.4638938,81540882,traffic_signals,,POINT (-58.4638938 -34.5964215)
-34.5970841,-58.4640624,81540883,,,POINT (-58.4640624 -34.5970841)
-34.6014265,-58.4654308,81540888,traffic_signals,,POINT (-58.4654308 -34.6014265)
-34.6017209,-58.4655161,81540889,traffic_signals,,POINT (-58.4655161 -34.6017209)
-34.6013782,-58.465681,81541128,,,POINT (-58.465681 -34.6013782)
-34.5728735,-58.4230381,81548190,,,POINT (-58.4230381 -34.5728735)
-34.5730877,-58.4224285,81548191,,,POINT (-58.4224285 -34.5730877)
-34.5736344,-58.4212427,81548192,,,POINT (-58.4212427 -34.5736344)
-34.5741978,-58.420022,81548193,,,POINT (-58.420022 -34.5741978)
-34.5746785,-58.4188199,81548195,,,POINT (-58.4188199 -34.5746785)
-34.5737258,-58.4235462,81548334,,,POINT (-58.4235462 -34.5737258)
-34.5739746,-58.4229299,81548336,,,POINT (-58.4229299 -34.5739746)
-34.5749814,-58.4205712,81548338,,,POINT (-58.4205712 -34.5749814)
-34.5754967,-58.4193724,81548339,,,POINT (-58.4193724 -34.5754967)
-34.5748351,-58.4242502,81548866,,,POINT (-58.4242502 -34.5748351)
-34.5754867,-58.4223737,81548868,traffic_signals,,POINT (-58.4223737 -34.5754867)
-34.5763123,-58.4200192,81548870,,,POINT (-58.4200192 -34.5763123)
-34.5891474,-58.3998253,81551254,traffic_signals,,POINT (-58.3998253 -34.5891474)
-34.5902112,-58.4003782,81551255,traffic_signals,,POINT (-58.4003782 -34.5902112)
-34.5933499,-58.4018425,81551258,traffic_signals,,POINT (-58.4018425 -34.5933499)
-34.5944735,-58.4023544,81551259,traffic_signals,,POINT (-58.4023544 -34.5944735)
-34.5958256,-58.4028769,81551260,traffic_signals,,POINT (-58.4028769 -34.5958256)
-34.5965688,-58.403127,81551262,traffic_signals,,POINT (-58.403127 -34.5965688)
-34.5998876,-58.4041659,81551268,traffic_signals,,POINT (-58.4041659 -34.5998876)
-34.6018506,-58.4047874,81551270,traffic_signals,,POINT (-58.4047874 -34.6018506)
-34.6045763,-58.4054458,81551273,traffic_signals,,POINT (-58.4054458 -34.6045763)
-34.6055835,-58.4056988,81551274,traffic_signals,,POINT (-58.4056988 -34.6055835)
-34.6088793,-58.4060334,81551277,traffic_signals,,POINT (-58.4060334 -34.6088793)
-34.6112563,-58.4058559,81551279,traffic_signals,,POINT (-58.4058559 -34.6112563)
-34.6124257,-58.4055847,81551280,traffic_signals,,POINT (-58.4055847 -34.6124257)
-34.6134134,-58.4052805,81551281,traffic_signals,,POINT (-58.4052805 -34.6134134)
-34.6146212,-58.404916,81551282,traffic_signals,,POINT (-58.404916 -34.6146212)
-34.6170293,-58.4041088,81551284,traffic_signals,,POINT (-58.4041088 -34.6170293)
-34.6188438,-58.4035056,81551286,traffic_signals,,POINT (-58.4035056 -34.6188438)
-34.619853,-58.4031741,81551287,traffic_signals,,POINT (-58.4031741 -34.619853)
-34.6211374,-58.402802,81551289,traffic_signals,,POINT (-58.402802 -34.6211374)
-34.6224371,-58.4024588,81551290,traffic_signals,,POINT (-58.4024588 -34.6224371)
-34.6237745,-58.4021389,81551416,traffic_signals,,POINT (-58.4021389 -34.6237745)
-34.6239469,-58.4034849,81551676,,,POINT (-58.4034849 -34.6239469)
-34.627613,-58.4026514,81551679,traffic_signals,,POINT (-58.4026514 -34.627613)
-34.6259434,-58.4068797,81552576,,,POINT (-58.4068797 -34.6259434)
-34.6257635,-58.4056018,81552577,,,POINT (-58.4056018 -34.6257635)
-34.6254496,-58.4031499,81552578,traffic_signals,,POINT (-58.4031499 -34.6254496)
-34.6251973,-58.4018115,81552579,traffic_signals,,POINT (-58.4018115 -34.6251973)
-34.624861,-58.4002231,81552580,traffic_signals,,POINT (-58.4002231 -34.624861)
-34.6246464,-58.3990968,81552581,,,POINT (-58.3990968 -34.6246464)
-34.6244614,-58.3974974,81552582,,,POINT (-58.3974974 -34.6244614)
-34.6243134,-58.3959634,81552583,,,POINT (-58.3959634 -34.6243134)
-34.6350718,-58.4105222,81555213,traffic_signals,,POINT (-58.4105222 -34.6350718)
-34.6347097,-58.4093389,81555215,traffic_signals,,POINT (-58.4093389 -34.6347097)
-34.6343156,-58.4078493,81555216,,,POINT (-58.4078493 -34.6343156)
-34.6337466,-58.4059821,81555217,traffic_signals,,POINT (-58.4059821 -34.6337466)
-34.6332154,-58.4045223,81555218,,,POINT (-58.4045223 -34.6332154)
-34.632645,-58.403096,81555219,,,POINT (-58.403096 -34.632645)
-34.6321876,-58.4019517,81555221,,,POINT (-58.4019517 -34.6321876)
-34.6306816,-58.3977416,81555222,traffic_signals,,POINT (-58.3977416 -34.6306816)
-34.6291866,-58.4054492,81556497,traffic_signals,,POINT (-58.4054492 -34.6291866)
-34.6303769,-58.404962,81556499,,,POINT (-58.404962 -34.6303769)
-34.6316373,-58.4047703,81556500,traffic_signals,,POINT (-58.4047703 -34.6316373)
-34.6343869,-58.4043007,81556502,,,POINT (-58.4043007 -34.6343869)
-34.6355239,-58.4040633,81556503,traffic_signals,,POINT (-58.4040633 -34.6355239)
-34.6367775,-58.4037874,81556505,traffic_signals,,POINT (-58.4037874 -34.6367775)
-34.6379747,-58.4035389,81556506,,,POINT (-58.4035389 -34.6379747)
-34.6392048,-58.4032624,81556507,traffic_signals,,POINT (-58.4032624 -34.6392048)
-34.6404051,-58.4030003,81556508,,,POINT (-58.4030003 -34.6404051)
-34.6415826,-58.4027281,81556510,traffic_signals,,POINT (-58.4027281 -34.6415826)
-34.6418792,-58.4026538,81556511,,,POINT (-58.4026538 -34.6418792)
-34.6424361,-58.4025226,81556513,,,POINT (-58.4025226 -34.6424361)
-34.6431007,-58.4023657,81556514,,,POINT (-58.4023657 -34.6431007)
-34.6458012,-58.4017639,81556518,traffic_signals,,POINT (-58.4017639 -34.6458012)
-34.6445612,-58.4139718,81556834,traffic_signals,,POINT (-58.4139718 -34.6445612)
-34.6447609,-58.4130407,81556836,,,POINT (-58.4130407 -34.6447609)
-34.6451009,-58.4111547,81556839,,,POINT (-58.4111547 -34.6451009)
-34.6469046,-58.4139317,81557190,,,POINT (-58.4139317 -34.6469046)
-34.6466972,-58.4125728,81557191,,,POINT (-58.4125728 -34.6466972)
-34.6461833,-58.4094891,81557193,,,POINT (-58.4094891 -34.6461833)
-34.6459826,-58.4081082,81557194,,,POINT (-58.4081082 -34.6459826)
-34.6457482,-58.4067446,81557195,traffic_signals,,POINT (-58.4067446 -34.6457482)
-34.6455202,-58.4053902,81557196,,,POINT (-58.4053902 -34.6455202)
-34.645294,-58.4040449,81557197,,,POINT (-58.4040449 -34.645294)
-34.6453544,-58.4143832,81557791,,,POINT (-58.4143832 -34.6453544)
-34.6480495,-58.4136508,81557793,,,POINT (-58.4136508 -34.6480495)
-34.6495868,-58.4132878,81557796,traffic_signals,,POINT (-58.4132878 -34.6495868)
-34.6503111,-58.4130828,81557797,,,POINT (-58.4130828 -34.6503111)
-34.6510856,-58.4127082,81557798,,,POINT (-58.4127082 -34.6510856)
-34.6524412,-58.4121633,81557799,,,POINT (-58.4121633 -34.6524412)
-34.5933406,-58.4458284,81574349,traffic_signals,,POINT (-58.4458284 -34.5933406)
-34.5940693,-58.4450565,81574350,traffic_signals,,POINT (-58.4450565 -34.5940693)
-34.5954995,-58.4434688,81574352,traffic_signals,,POINT (-58.4434688 -34.5954995)
-34.5963448,-58.4425816,81574353,traffic_signals,,POINT (-58.4425816 -34.5963448)
-34.59986,-58.4387215,81574358,traffic_signals,,POINT (-58.4387215 -34.59986)
-34.6005682,-58.4381045,81574359,traffic_signals,,POINT (-58.4381045 -34.6005682)
-34.6014014,-58.4372762,81574361,traffic_signals,,POINT (-58.4372762 -34.6014014)
-34.6022463,-58.4364362,81574363,traffic_signals,,POINT (-58.4364362 -34.6022463)
-34.6030578,-58.4356556,81574364,,,POINT (-58.4356556 -34.6030578)
-34.6035915,-58.435148,81574365,traffic_signals,,POINT (-58.435148 -34.6035915)
-34.6044325,-58.4347445,81574368,traffic_signals,,POINT (-58.4347445 -34.6044325)
-34.599379,-58.3691482,81600847,traffic_signals,,POINT (-58.3691482 -34.599379)
-34.5995118,-58.370682,81600850,,,POINT (-58.370682 -34.5995118)
-34.5996624,-58.3726857,81600853,,,POINT (-58.3726857 -34.5996624)
-34.5999912,-58.3767973,81600856,traffic_signals,,POINT (-58.3767973 -34.5999912)
-34.6000838,-58.3782394,81600857,traffic_signals,,POINT (-58.3782394 -34.6000838)
-34.6001488,-58.3796695,81600858,traffic_signals,,POINT (-58.3796695 -34.6001488)
-34.6005137,-58.3853541,81600863,traffic_signals,,POINT (-58.3853541 -34.6005137)
-34.6006052,-58.3867629,81600864,traffic_signals,,POINT (-58.3867629 -34.6006052)
-34.6006696,-58.3881114,81600868,traffic_signals,,POINT (-58.3881114 -34.6006696)
-34.6007676,-58.391434,81600871,traffic_signals,,POINT (-58.391434 -34.6007676)
-34.600821,-58.3927667,81600874,traffic_signals,,POINT (-58.3927667 -34.600821)
-34.5963409,-58.423155,81601542,traffic_signals,,POINT (-58.423155 -34.5963409)
-34.5964206,-58.4215183,81601544,traffic_signals,,POINT (-58.4215183 -34.5964206)
-34.5965626,-58.4187305,81601548,traffic_signals,,POINT (-58.4187305 -34.5965626)
-34.5966464,-58.4169987,81601549,traffic_signals,,POINT (-58.4169987 -34.5966464)
-34.5967964,-58.4142259,81601552,traffic_signals,,POINT (-58.4142259 -34.5967964)
-34.5968308,-58.412995,81601553,traffic_signals,,POINT (-58.412995 -34.5968308)
-34.5969546,-58.4102508,81601556,traffic_signals,,POINT (-58.4102508 -34.5969546)
-34.5952826,-58.4230198,81601843,traffic_signals,,POINT (-58.4230198 -34.5952826)
-34.5956161,-58.4138302,81601852,traffic_signals,,POINT (-58.4138302 -34.5956161)
-34.5956052,-58.4127069,81601854,traffic_signals,,POINT (-58.4127069 -34.5956052)
-34.5981536,-58.4202216,81603096,traffic_signals,,POINT (-58.4202216 -34.5981536)
-34.5995955,-58.4149273,81603100,,,POINT (-58.4149273 -34.5995955)
-34.5999631,-58.4137285,81603101,,,POINT (-58.4137285 -34.5999631)
-34.6002418,-58.412293,81603102,traffic_signals,,POINT (-58.412293 -34.6002418)
-34.6021119,-58.4022697,81603109,traffic_signals,,POINT (-58.4022697 -34.6021119)
-34.602185,-58.397016,81603112,traffic_signals,,POINT (-58.397016 -34.602185)
-34.6073365,-58.3992593,81603345,traffic_signals,,POINT (-58.3992593 -34.6073365)
-34.6084904,-58.3992154,81603346,traffic_signals,,POINT (-58.3992154 -34.6084904)
-34.6097017,-58.3991222,81603347,traffic_signals,,POINT (-58.3991222 -34.6097017)
-34.6119847,-58.3989671,81603349,,,POINT (-58.3989671 -34.6119847)
-34.6130975,-58.3988703,81603351,traffic_signals,,POINT (-58.3988703 -34.6130975)
-34.6142555,-58.39878,81603352,,,POINT (-58.39878 -34.6142555)
-34.6147203,-58.3975123,81604124,,,POINT (-58.3975123 -34.6147203)
-34.6148062,-58.3978717,81604125,,,POINT (-58.3978717 -34.6148062)
-34.6151288,-58.3992303,81604126,traffic_signals,,POINT (-58.3992303 -34.6151288)
-34.6154842,-58.4012636,81604127,traffic_signals,,POINT (-58.4012636 -34.6154842)
-34.6160752,-58.4058146,81604130,traffic_signals,,POINT (-58.4058146 -34.6160752)
-34.616367,-58.4069276,81604132,,,POINT (-58.4069276 -34.616367)
-34.6166258,-58.4094525,81604133,traffic_signals,,POINT (-58.4094525 -34.6166258)
-34.6166359,-58.410996,81604134,traffic_signals,,POINT (-58.410996 -34.6166359)
-34.6166344,-58.4127355,81604135,,,POINT (-58.4127355 -34.6166344)
-34.6166122,-58.4142362,81604136,,,POINT (-58.4142362 -34.6166122)
-34.6182353,-58.4140785,81604162,,,POINT (-58.4140785 -34.6182353)
-34.6171442,-58.4141946,81604565,,,POINT (-58.4141946 -34.6171442)
-34.6142892,-58.4145134,81604567,traffic_signals,,POINT (-58.4145134 -34.6142892)
-34.6130534,-58.4147522,81604568,traffic_signals,,POINT (-58.4147522 -34.6130534)
-34.6094749,-58.4159326,81604573,traffic_signals,,POINT (-58.4159326 -34.6094749)
-34.6085503,-58.4160569,81604574,traffic_signals,,POINT (-58.4160569 -34.6085503)
-34.6069659,-58.41622,81604575,traffic_signals,,POINT (-58.41622 -34.6069659)
-34.6056613,-58.4160309,81604577,traffic_signals,,POINT (-58.4160309 -34.6056613)
-34.6048535,-58.4158536,81614072,,,POINT (-58.4158536 -34.6048535)
-34.603806,-58.4156616,81614073,traffic_signals,,POINT (-58.4156616 -34.603806)
-34.6017592,-58.4153204,81614075,,,POINT (-58.4153204 -34.6017592)
-34.6007706,-58.415148,81614076,,,POINT (-58.415148 -34.6007706)
-34.5994557,-58.4149009,81614077,,,POINT (-58.4149009 -34.5994557)
-34.5979075,-58.4146168,81614080,traffic_signals,,POINT (-58.4146168 -34.5979075)
-34.5937117,-58.4127389,81614082,traffic_signals,,POINT (-58.4127389 -34.5937117)
-34.5928963,-58.4121136,81614083,,,POINT (-58.4121136 -34.5928963)
-34.592194,-58.4116255,81614084,traffic_signals,,POINT (-58.4116255 -34.592194)
-34.5935826,-58.4072355,81614897,traffic_signals,,POINT (-58.4072355 -34.5935826)
-34.5947807,-58.4050873,81614899,,,POINT (-58.4050873 -34.5947807)
-34.5970718,-58.3988828,81614903,traffic_signals,,POINT (-58.3988828 -34.5970718)
-34.5972292,-58.3975411,81614904,traffic_signals,,POINT (-58.3975411 -34.5972292)
-34.599772,-58.3987483,81616450,traffic_signals,,POINT (-58.3987483 -34.599772)
-34.5944276,-58.3981106,81616460,traffic_signals,,POINT (-58.3981106 -34.5944276)
-34.592896,-58.3974643,81616462,traffic_signals,,POINT (-58.3974643 -34.592896)
-34.5921072,-58.3971249,81616463,traffic_signals,,POINT (-58.3971249 -34.5921072)
-34.5901747,-58.3957898,81616466,traffic_signals,,POINT (-58.3957898 -34.5901747)
-34.5893133,-58.3948965,81616467,traffic_signals,,POINT (-58.3948965 -34.5893133)
-34.5851258,-58.4620531,81622357,traffic_signals,,POINT (-58.4620531 -34.5851258)
-34.5845894,-58.4648929,81622358,traffic_signals,,POINT (-58.4648929 -34.5845894)
-34.5826638,-58.4708453,81622362,traffic_signals,,POINT (-58.4708453 -34.5826638)
-34.5822857,-58.4720694,81622364,traffic_signals,,POINT (-58.4720694 -34.5822857)
-34.5815863,-58.4740418,81622365,,,POINT (-58.4740418 -34.5815863)
-34.5827112,-58.4695471,81623298,,,POINT (-58.4695471 -34.5827112)
-34.5827132,-58.4684944,81623299,,,POINT (-58.4684944 -34.5827132)
-34.5827433,-58.467354,81623300,,,POINT (-58.467354 -34.5827433)
-34.5827766,-58.4662197,81623301,,,POINT (-58.4662197 -34.5827766)
-34.5828276,-58.4648124,81623302,,,POINT (-58.4648124 -34.5828276)
-34.582915,-58.4619593,81623305,,,POINT (-58.4619593 -34.582915)
-34.5829405,-58.4605294,81623307,traffic_signals,,POINT (-58.4605294 -34.5829405)
-34.5830059,-58.4588251,81623308,,,POINT (-58.4588251 -34.5830059)
-34.5833843,-58.4574979,81623309,,,POINT (-58.4574979 -34.5833843)
-34.5838619,-58.4561754,81623311,,,POINT (-58.4561754 -34.5838619)
-34.5867768,-58.4549797,81623653,,,POINT (-58.4549797 -34.5867768)
-34.5840113,-58.4619847,81826557,,,POINT (-58.4619847 -34.5840113)
-34.5818287,-58.4619053,81826558,,,POINT (-58.4619053 -34.5818287)
-34.5807104,-58.4618705,81826559,,,POINT (-58.4618705 -34.5807104)
-34.5796299,-58.4618122,81826560,,,POINT (-58.4618122 -34.5796299)
-34.5782656,-58.461777,81826561,traffic_signals,,POINT (-58.461777 -34.5782656)
-34.5794268,-58.4695034,81830091,,,POINT (-58.4695034 -34.5794268)
-34.5794507,-58.4683436,81830093,,,POINT (-58.4683436 -34.5794507)
-34.579473,-58.4672233,81830094,,,POINT (-58.4672233 -34.579473)
-34.5794881,-58.4660906,81830096,,,POINT (-58.4660906 -34.5794881)
-34.5795487,-58.4646736,81830097,,,POINT (-58.4646736 -34.5795487)
-34.579582,-58.4632573,81830098,,,POINT (-58.4632573 -34.579582)
-34.5796456,-58.4605318,81830099,traffic_signals,,POINT (-58.4605318 -34.5796456)
-34.5797354,-58.4588939,81830100,traffic_signals,,POINT (-58.4588939 -34.5797354)
-34.5798233,-58.4575938,81830102,,,POINT (-58.4575938 -34.5798233)
-34.5801147,-58.4565759,81830103,,,POINT (-58.4565759 -34.5801147)
-34.5803791,-58.4555742,81830104,,,POINT (-58.4555742 -34.5803791)
-34.5808277,-58.454276,81830105,,,POINT (-58.454276 -34.5808277)
-34.5812857,-58.4529506,81830106,,,POINT (-58.4529506 -34.5812857)
-34.5816961,-58.4517241,81830108,traffic_signals,,POINT (-58.4517241 -34.5816961)
-34.5824032,-58.4497869,81830110,,,POINT (-58.4497869 -34.5824032)
-34.5832871,-58.4476283,81830114,traffic_signals,,POINT (-58.4476283 -34.5832871)
-34.5837888,-58.4464357,81830115,traffic_signals,,POINT (-58.4464357 -34.5837888)
-34.5853937,-58.4434512,81830120,traffic_signals,,POINT (-58.4434512 -34.5853937)
-34.5880901,-58.4393903,81830126,traffic_signals,,POINT (-58.4393903 -34.5880901)
-34.5895979,-58.4370981,81830130,traffic_signals,,POINT (-58.4370981 -34.5895979)
-34.5902143,-58.4361525,81830131,traffic_signals,,POINT (-58.4361525 -34.5902143)
-34.5908092,-58.4352822,81830133,traffic_signals,,POINT (-58.4352822 -34.5908092)
-34.5914389,-58.4343336,81830134,traffic_signals,,POINT (-58.4343336 -34.5914389)
-34.5920594,-58.4334553,81830135,traffic_signals,,POINT (-58.4334553 -34.5920594)
-34.592768,-58.4323729,81830136,traffic_signals,,POINT (-58.4323729 -34.592768)
-34.5935308,-58.4312446,81830137,traffic_signals,,POINT (-58.4312446 -34.5935308)
-34.5942848,-58.4300811,81830138,traffic_signals,,POINT (-58.4300811 -34.5942848)
-34.5948457,-58.4291798,81830139,traffic_signals,,POINT (-58.4291798 -34.5948457)
-34.5955112,-58.4281105,81830140,traffic_signals,,POINT (-58.4281105 -34.5955112)
-34.5970939,-58.424851,81830147,traffic_signals,,POINT (-58.424851 -34.5970939)
-34.5977212,-58.4217533,81830149,traffic_signals,,POINT (-58.4217533 -34.5977212)
-34.5977591,-58.4201723,81830150,traffic_signals,,POINT (-58.4201723 -34.5977591)
-34.5978033,-58.418946,81832372,traffic_signals,,POINT (-58.418946 -34.5978033)
-34.5978345,-58.417271,81832373,,,POINT (-58.417271 -34.5978345)
-34.5978556,-58.4159885,81832374,traffic_signals,,POINT (-58.4159885 -34.5978556)
-34.5979568,-58.4132586,81832377,,,POINT (-58.4132586 -34.5979568)
-34.5980173,-58.4119275,81832378,traffic_signals,,POINT (-58.4119275 -34.5980173)
-34.5981063,-58.4103109,81832379,,,POINT (-58.4103109 -34.5981063)
-34.5980978,-58.4094111,81832380,,,POINT (-58.4094111 -34.5980978)
-34.5980793,-58.4081716,81832381,traffic_signals,,POINT (-58.4081716 -34.5980793)
-34.59806,-58.4066509,81832382,,,POINT (-58.4066509 -34.59806)
-34.5909863,-58.4024487,81834156,traffic_signals,,POINT (-58.4024487 -34.5909863)
-34.5921009,-58.4027919,81834158,traffic_signals,,POINT (-58.4027919 -34.5921009)
-34.5929294,-58.4030473,81834159,traffic_signals,,POINT (-58.4030473 -34.5929294)
-34.5952654,-58.4041596,81834162,traffic_signals,,POINT (-58.4041596 -34.5952654)
-34.5960651,-58.4045672,81834163,traffic_signals,,POINT (-58.4045672 -34.5960651)
-34.5980582,-58.4055904,81834165,,,POINT (-58.4055904 -34.5980582)
-34.599658,-58.4062958,81834168,traffic_signals,,POINT (-58.4062958 -34.599658)
