u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,access,bridge,junction,tunnel
32385206,195721154,0,113531297,True,Suipacha,living_street,10,143.524,"LINESTRING (-58.3799501 -34.5952738, -58.3798969 -34.5965638)",,,,,,
81551255,192000783,0,114352718,True,French,residential,30,127.073,"LINESTRING (-58.4003782 -34.5902112, -58.3992388 -34.590864)",,,,,,
81551270,199483197,0,47414720,True,Tucumán,residential,40,105.511,"LINESTRING (-58.4047874 -34.6018506, -58.4059307 -34.6017291)",1,,,,,
81551280,4486045115,0,532838113,True,Adolfo Alsina,residential,30,31.554,"LINESTRING (-58.4055847 -34.6124257, -58.4052404 -34.6124105)",1,,,,,
81551284,4388565778,0,39843571,True,México,residential,30,14.707,"LINESTRING (-58.4041088 -34.6170293, -58.4039545 -34.6169923)",,,,,,
81551289,195867066,0,18905228,True,Carlos Calvo,residential,30,156.28,"LINESTRING (-58.402802 -34.6211374, -58.4044655 -34.6214557)",,,,,,
81552577,5382351842,0,47413572,True,Deán Funes,residential,30,118.039,"LINESTRING (-58.4056018 -34.6257635, -58.4054534 -34.626818)",,,,,,
81555218,4586393688,0,328506557,True,Deán Funes,residential,30,48.597,"LINESTRING (-58.4045223 -34.6332154, -58.4044476 -34.6336481)",,,,,,
81556499,487697943,0,444219208,True,Deán Funes,residential,30,33.795,"LINESTRING (-58.404962 -34.6303769, -58.4049174 -34.6306786)",,,,,,
81556500,3285260076,0,532236900,True,Deán Funes,residential,20,165.7,"LINESTRING (-58.4047703 -34.6316373, -58.4045365 -34.633115)",,,,,,
81556502,5384962273,0,328506557,True,Deán Funes,residential,30,109.598,"LINESTRING (-58.4043007 -34.6343869, -58.4040978 -34.6353583)",,,,,,
81556503,3722216779,0,325125729,True,Deán Funes,residential,30,87.421,"LINESTRING (-58.4040633 -34.6355239, -58.4038977 -34.6362982)",,,,,,
81556503,206106010,0,325125739,True,Rondeau,residential,30,159.508,"LINESTRING (-58.4040633 -34.6355239, -58.4057457 -34.6359002)",,,,,,
81556505,81556506,0,93287044,True,Zavaleta,residential,30,135.05,"LINESTRING (-58.4037874 -34.6367775, -58.4035389 -34.6379747)",,,,,,
81556506,206119459,0,93287044,True,Zavaleta,residential,30,102.13,"LINESTRING (-58.4035389 -34.6379747, -58.4033316 -34.6388772)",,,,,,
81556507,206119458,0,340321898,True,Uspallata,residential,30,28.966,"LINESTRING (-58.4032624 -34.6392048, -58.4035703 -34.6392655)",,,,,,
81574353,82653741,0,533680272,True,Serrano,residential,20,172.335,"LINESTRING (-58.4425816 -34.5963448, -58.4410677 -34.5954234)",2,,,,,
81574361,237953509,0,533676066,True,Julián Álvarez,residential,20,141.583,"LINESTRING (-58.4372762 -34.6014014, -58.4384931 -34.6021875)",,,,,,
81601544,81830149,0,29094526,True,Francisco Acuña de Figueroa,residential,30,146.211,"LINESTRING (-58.4215183 -34.5964206, -58.4217533 -34.5977212)",2,,,,,
81601552,81601852,0,71179531,True,Billinghurst,residential,30,136.15,"LINESTRING (-58.4142259 -34.5967964, -58.4138302 -34.5956161)",1,,,,,
81603109,82721348,0,276148012,True,Tucumán,residential,30,121.526,"LINESTRING (-58.4022697 -34.6021119, -58.4035852 -34.6019637)",1,,,,,
81603112,199483241,0,276148012,True,Tucumán,residential,30,134.453,"LINESTRING (-58.397016 -34.602185, -58.3984845 -34.6022169)",1,,,,,
81603349,5423792408,0,333373300,True,Adolfo Alsina,residential,30,34.871,"LINESTRING (-58.3989671 -34.6119847, -58.3985876 -34.6119565)",1,,,,,
81604162,2973383936,0,334573426,True,Virrey Liniers,residential,30,106.481,"LINESTRING (-58.4140785 -34.6182353, -58.414178 -34.6172812)",,,,,,
81604565,81604136,0,293754081,True,Virrey Liniers,residential,30,59.278,"LINESTRING (-58.4141946 -34.6171442, -58.4142362 -34.6166122)",2,,,,,
81604567,81604568,0,460235030,True,Virrey Liniers,residential,30,139.142,"LINESTRING (-58.4145134 -34.6142892, -58.4147522 -34.6130534)",1,,,,,
81604568,5727130914,0,131354423,True,Virrey Liniers,residential,30,126.178,"LINESTRING (-58.4147522 -34.6130534, -58.415263 -34.6119994)",,,,,,
81604573,680131569,0,20280343,True,Billinghurst,residential,30,62.466,"LINESTRING (-58.4159326 -34.6094749, -58.4160105 -34.6089168)",,,,,,
81604575,195796059,0,348072976,True,Teniente General Juan Domingo Perón,residential,30,97.542,"LINESTRING (-58.41622 -34.6069659, -58.4172818 -34.6068901)",2,,,,,
81604575,81604577,0,53875152,True,Billinghurst,residential,30,146.094,"LINESTRING (-58.41622 -34.6069659, -58.4160309 -34.6056613)",,,,,,
81614077,4477144782,0,226301467,True,Billinghurst,residential,30,157.182,"LINESTRING (-58.4149009 -34.5994557, -58.4146419 -34.5980583)",,,,,,
81614080,4973070093,0,71179537,True,Billinghurst,residential,30,8.248,"LINESTRING (-58.4146168 -34.5979075, -58.4145995 -34.5978347)",2,,,,,
81614080,81832374,0,71179562,True,Avenida Córdoba,primary,50,125.686,"LINESTRING (-58.4146168 -34.5979075, -58.4159885 -34.5978556)",3,11,,,,
81614083,192897706,0,167728248,True,General Lucio Norberto Mansilla,residential,30,93.353,"LINESTRING (-58.4121136 -34.5928963, -58.4128745 -34.5923373)",,,,,,
81614903,5432672559,0,267161666,True,Presidente José Evaristo Uriburu,residential,20,138.252,"LINESTRING (-58.3988828 -34.5970718, -58.3986237 -34.5958469)",1,,,,,
81614903,195504966,0,267161667,True,Marcelo T. de Alvear,residential,30,133.989,"LINESTRING (-58.3988828 -34.5970718, -58.4002962 -34.5967582)",1,,,,,
81614904,81614903,0,98017877,True,Marcelo T. de Alvear,residential,30,124.049,"LINESTRING (-58.3975411 -34.5972292, -58.3988828 -34.5970718)",1,,,,,
81616450,4475727478,0,71179555,True,Avenida Córdoba,primary,50,10.355,"LINESTRING (-58.3987483 -34.599772, -58.3988613 -34.5997674)",3,,,,,
81616450,4973070110,0,507883625,True,Presidente José Evaristo Uriburu,residential,30,9.618,"LINESTRING (-58.3987483 -34.599772, -58.398781 -34.5996898)",2,,,,,
81616460,177159522,0,113531315,True,Presidente José Evaristo Uriburu,residential,20,11.772,"LINESTRING (-58.3981106 -34.5944276, -58.398066 -34.5943283)",,,,,,
