y,x,osmid,highway,ref,geometry
41.8766453,12.5260149,301673748,,,POINT (12.5260149 41.8766453)
41.874178,12.5295714,301680969,crossing,,POINT (12.5295714 41.874178)
41.8762542,12.5265474,302178164,,,POINT (12.5265474 41.8762542)
41.8828846,12.4757915,462618016,,,POINT (12.4757915 41.8828846)
41.8877526,12.4803713,667984647,traffic_signals,,POINT (12.4803713 41.8877526)
41.8762364,12.5265716,1275173924,,,POINT (12.5265716 41.8762364)
41.8783929,12.4684946,251888369,,,POINT (12.4684946 41.8783929)
41.8673351,12.4844086,130216139,,,POINT (12.4844086 41.8673351)
41.8671411,12.4844107,130217140,,,POINT (12.4844107 41.8671411)
41.8817653,12.4993958,246259984,crossing,,POINT (12.4993958 41.8817653)
41.8800584,12.4962804,246633881,,,POINT (12.4962804 41.8800584)
41.8829716,12.4757364,251885756,,,POINT (12.4757364 41.8829716)
41.7221427,12.2961634,255019799,traffic_signals,,POINT (12.2961634 41.7221427)
41.8589093,12.4962198,255333227,,,POINT (12.4962198 41.8589093)
41.8546372,12.4905073,255333392,,,POINT (12.4905073 41.8546372)
41.8587099,12.4960174,255333456,,,POINT (12.4960174 41.8587099)
41.8611838,12.4703619,257668929,,,POINT (12.4703619 41.8611838)
41.8575154,12.3976116,260349312,,,POINT (12.3976116 41.8575154)
41.8590221,12.4017945,260349554,,,POINT (12.4017945 41.8590221)
41.9145193,12.5779402,260974699,,,POINT (12.5779402 41.9145193)
41.8677626,12.4795508,261011874,,,POINT (12.4795508 41.8677626)
41.9190272,12.4901171,261271975,,,POINT (12.4901171 41.9190272)
41.8681053,12.4230141,262064887,,,POINT (12.4230141 41.8681053)
41.8541837,12.4908032,266790610,,,POINT (12.4908032 41.8541837)
41.8636059,12.4972802,270295204,,,POINT (12.4972802 41.8636059)
41.8636304,12.4974026,270295206,,,POINT (12.4974026 41.8636304)
41.8636513,12.4975466,270295210,,,POINT (12.4975466 41.8636513)
41.8636716,12.4976682,270295214,,,POINT (12.4976682 41.8636716)
41.8437099,12.4920441,270302462,,,POINT (12.4920441 41.8437099)
41.9199284,12.5649041,278563045,crossing,,POINT (12.5649041 41.9199284)
41.847941,12.5632688,281632884,,,POINT (12.5632688 41.847941)
41.8082158,12.4192994,286975492,,,POINT (12.4192994 41.8082158)
41.8266372,12.4462636,286992747,,,POINT (12.4462636 41.8266372)
41.8276201,12.4447566,286992824,,,POINT (12.4447566 41.8276201)
41.8387372,12.4595596,286993430,,,POINT (12.4595596 41.8387372)
41.9136382,12.4702255,286995630,,,POINT (12.4702255 41.9136382)
41.9277567,12.4584281,286996279,,,POINT (12.4584281 41.9277567)
41.9211263,12.4680139,286996321,,,POINT (12.4680139 41.9211263)
41.9435358,12.4967871,286997482,,,POINT (12.4967871 41.9435358)
41.986717,12.4980056,286997565,,,POINT (12.4980056 41.986717)
41.8401987,12.4809104,294113515,,,POINT (12.4809104 41.8401987)
41.8533013,12.4897873,294707107,,,POINT (12.4897873 41.8533013)
41.853259,12.4894992,294707118,,,POINT (12.4894992 41.853259)
41.9135887,12.5447227,295225857,,,POINT (12.5447227 41.9135887)
41.9150641,12.5730043,296241858,,,POINT (12.5730043 41.9150641)
41.7912449,12.3413057,296914220,,,POINT (12.3413057 41.7912449)
41.893045,12.5669444,299617523,,,POINT (12.5669444 41.893045)
41.8963892,12.5526387,300165052,,,POINT (12.5526387 41.8963892)
41.8597892,12.4973571,300567438,,,POINT (12.4973571 41.8597892)
41.8533783,12.4896712,302128491,,,POINT (12.4896712 41.8533783)
41.837914,12.4786971,304150460,,,POINT (12.4786971 41.837914)
41.8379047,12.4784387,304150901,,,POINT (12.4784387 41.8379047)
41.7986845,12.444128,305102918,,,POINT (12.444128 41.7986845)
41.8747275,12.474662,319115014,,,POINT (12.474662 41.8747275)
41.9345674,12.4675669,331101107,traffic_signals,,POINT (12.4675669 41.9345674)
41.8391635,12.4596979,339558423,,,POINT (12.4596979 41.8391635)
41.7208333,12.2990654,347314225,traffic_signals,,POINT (12.2990654 41.7208333)
41.7398077,12.2418732,351446523,,,POINT (12.2418732 41.7398077)
41.8698719,12.4738703,356940862,,,POINT (12.4738703 41.8698719)
41.8678778,12.4749961,356940867,,,POINT (12.4749961 41.8678778)
41.9071118,12.5730359,361135816,,,POINT (12.5730359 41.9071118)
41.8653148,12.4089313,365304807,,,POINT (12.4089313 41.8653148)
41.7403193,12.268593,366148996,,,POINT (12.268593 41.7403193)
41.7327771,12.2670432,366158473,,,POINT (12.2670432 41.7327771)
41.7326903,12.2673382,366158477,,,POINT (12.2673382 41.7326903)
41.9723545,12.538249,373824355,,,POINT (12.538249 41.9723545)
41.8527416,12.5585489,385017203,,,POINT (12.5585489 41.8527416)
41.7417506,12.2758909,387901064,,,POINT (12.2758909 41.7417506)
41.8856261,12.47734,394292738,,,POINT (12.47734 41.8856261)
41.8141248,12.4621998,398942373,,,POINT (12.4621998 41.8141248)
41.8003063,12.4190969,413723683,,,POINT (12.4190969 41.8003063)
41.911521,12.4659548,418502539,,,POINT (12.4659548 41.911521)
41.9209448,12.4917398,422194980,,,POINT (12.4917398 41.9209448)
41.9208685,12.4916241,422194981,,,POINT (12.4916241 41.9208685)
41.8467046,12.4844836,427840865,,,POINT (12.4844836 41.8467046)
41.8175874,12.4830342,428062792,,,POINT (12.4830342 41.8175874)
41.8590901,12.4017744,428406901,,,POINT (12.4017744 41.8590901)
41.9239513,12.4587943,430820463,,,POINT (12.4587943 41.9239513)
41.9253494,12.4966023,471207414,,,POINT (12.4966023 41.9253494)
41.9389019,12.5100213,569222883,,,POINT (12.5100213 41.9389019)
41.9389689,12.5099212,569222884,,,POINT (12.5099212 41.9389689)
41.9357217,12.5312675,569223057,,,POINT (12.5312675 41.9357217)
41.8463516,12.4789418,570811568,crossing,,POINT (12.4789418 41.8463516)
41.8470325,12.4758717,570811570,crossing,,POINT (12.4758717 41.8470325)
41.9098158,12.4582098,588148328,crossing,,POINT (12.4582098 41.9098158)
41.9098706,12.4581658,588148330,,,POINT (12.4581658 41.9098706)
41.9715832,12.5358259,603752680,,,POINT (12.5358259 41.9715832)
41.9392397,12.4220267,610925928,crossing,,POINT (12.4220267 41.9392397)
41.7325923,12.2672944,615221666,,,POINT (12.2672944 41.7325923)
41.7326963,12.2669698,615221668,,,POINT (12.2669698 41.7326963)
41.7309353,12.2724802,615221670,,,POINT (12.2724802 41.7309353)
41.9567092,12.4877342,618015373,,,POINT (12.4877342 41.9567092)
41.8554011,12.5904484,634165223,,,POINT (12.5904484 41.8554011)
41.9434802,12.496414,634206529,,,POINT (12.496414 41.9434802)
41.7425497,12.3438899,644737301,,,POINT (12.3438899 41.7425497)
41.749596,12.3522476,644842991,,,POINT (12.3522476 41.749596)
41.918762,12.4698979,653888118,,,POINT (12.4698979 41.918762)
41.9364072,12.4669048,660310374,,,POINT (12.4669048 41.9364072)
41.9364446,12.4671037,660310382,,,POINT (12.4671037 41.9364446)
41.925887,12.458727,660474980,,,POINT (12.458727 41.925887)
41.8836715,12.4748357,667984629,,,POINT (12.4748357 41.8836715)
41.7914389,12.3805896,694056964,,,POINT (12.3805896 41.7914389)
41.9224935,12.4921013,701451411,,,POINT (12.4921013 41.9224935)
41.9226465,12.4925514,701451415,,,POINT (12.4925514 41.9226465)
41.9226328,12.4922628,701451420,,,POINT (12.4922628 41.9226328)
41.9226606,12.4923837,749882000,,,POINT (12.4923837 41.9226606)
41.9192481,12.5662603,799889177,,,POINT (12.5662603 41.9192481)
41.9199,12.5660252,799889181,,,POINT (12.5660252 41.9199)
41.9192842,12.5659489,799889187,,,POINT (12.5659489 41.9192842)
41.9201664,12.5662723,799889192,,,POINT (12.5662723 41.9201664)
41.9193795,12.5655502,799889205,,,POINT (12.5655502 41.9193795)
41.9201864,12.5663542,799889206,,,POINT (12.5663542 41.9201864)
41.9195063,12.5655273,799889207,,,POINT (12.5655273 41.9195063)
41.9192332,12.56688,799889211,,,POINT (12.56688 41.9192332)
41.9196829,12.5658286,799889214,,,POINT (12.5658286 41.9196829)
41.9192779,12.5662118,799889225,,,POINT (12.5662118 41.9192779)
41.9192716,12.5655983,799889232,,,POINT (12.5655983 41.9192716)
41.9192686,12.5658913,799889239,,,POINT (12.5658913 41.9192686)
41.9201864,12.5663101,799889245,,,POINT (12.5663101 41.9201864)
41.9192938,12.5655603,799889248,,,POINT (12.5655603 41.9192938)
41.9194633,12.5656221,799889255,,,POINT (12.5656221 41.9194633)
41.9200647,12.5665974,799889257,,,POINT (12.5665974 41.9200647)
41.9193809,12.5670141,799889266,,,POINT (12.5670141 41.9193809)
41.9145419,12.5700944,799907963,,,POINT (12.5700944 41.9145419)
41.9113435,12.5717288,799907964,,,POINT (12.5717288 41.9113435)
41.9117356,12.5715066,799907970,,,POINT (12.5715066 41.9117356)
41.9138594,12.570342,799907982,,,POINT (12.570342 41.9138594)
41.913895,12.5704682,799907997,,,POINT (12.5704682 41.913895)
41.9144968,12.5699457,799908004,,,POINT (12.5699457 41.9144968)
41.8698362,12.5681511,799917349,,,POINT (12.5681511 41.8698362)
41.8835225,12.5733319,799917362,,,POINT (12.5733319 41.8835225)
41.8698294,12.5682282,799917369,,,POINT (12.5682282 41.8698294)
41.8769512,12.5717916,799917370,,,POINT (12.5717916 41.8769512)
41.8831808,12.5733162,799917381,,,POINT (12.5733162 41.8831808)
41.8759153,12.5711253,799917400,,,POINT (12.5711253 41.8759153)
41.9194774,12.5671764,801468254,,,POINT (12.5671764 41.9194774)
41.7977231,12.4304955,901749005,crossing,,POINT (12.4304955 41.7977231)
41.9516632,12.5607928,911098829,,,POINT (12.5607928 41.9516632)
41.79612,12.4869577,914327200,,,POINT (12.4869577 41.79612)
41.7962928,12.4813378,914327302,,,POINT (12.4813378 41.7962928)
41.79621,12.4870915,914327409,,,POINT (12.4870915 41.79621)
41.7955178,12.4850579,914327536,,,POINT (12.4850579 41.7955178)
41.7962088,12.4869566,914327688,,,POINT (12.4869566 41.7962088)
41.796124,12.4870946,914327951,,,POINT (12.4870946 41.796124)
41.845829,12.5867618,915061631,,,POINT (12.5867618 41.845829)
41.8465169,12.5901127,915061693,,,POINT (12.5901127 41.8465169)
41.8516572,12.5831316,915061749,,,POINT (12.5831316 41.8516572)
41.8750205,12.5234112,931747710,,,POINT (12.5234112 41.8750205)
41.7762738,12.306188,957053801,,,POINT (12.306188 41.7762738)
41.7432604,12.3492816,960367819,,,POINT (12.3492816 41.7432604)
41.8388279,12.4752872,961868168,,,POINT (12.4752872 41.8388279)
41.838191,12.5074359,963290332,,,POINT (12.5074359 41.838191)
41.8384016,12.5071796,963290336,,,POINT (12.5071796 41.8384016)
41.838911,12.5062847,963290342,,,POINT (12.5062847 41.838911)
41.8669841,12.4969619,964672725,,,POINT (12.4969619 41.8669841)
41.8586189,12.5922503,964699058,,,POINT (12.5922503 41.8586189)
41.8737565,12.56986,964699067,,,POINT (12.56986 41.8737565)
41.8740543,12.5700645,964699073,,,POINT (12.5700645 41.8740543)
41.8895041,12.5740914,966845314,,,POINT (12.5740914 41.8895041)
41.8919231,12.5302328,966845346,,,POINT (12.5302328 41.8919231)
41.9099425,12.600346,1080438499,,,POINT (12.600346 41.9099425)
41.9365204,12.4667635,1089231300,,,POINT (12.4667635 41.9365204)
41.9284091,12.4819401,1106951029,,,POINT (12.4819401 41.9284091)
41.8815327,12.4989372,1108442064,,,POINT (12.4989372 41.8815327)
41.9397457,12.4206151,1129815368,,,POINT (12.4206151 41.9397457)
41.909821,12.4581014,1130166768,crossing,,POINT (12.4581014 41.909821)
41.9563834,12.487781,1132215378,,,POINT (12.487781 41.9563834)
41.9081326,12.4386819,1197765113,,,POINT (12.4386819 41.9081326)
41.8790524,12.5011388,1198128580,,,POINT (12.5011388 41.8790524)
41.8578946,12.6238664,1203364406,,,POINT (12.6238664 41.8578946)
41.8571521,12.6265995,1203395418,,,POINT (12.6265995 41.8571521)
41.8920817,12.4019421,1213715954,,,POINT (12.4019421 41.8920817)
41.8559572,12.631573,1236751977,,,POINT (12.631573 41.8559572)
41.7367902,12.3459528,1245975417,,,POINT (12.3459528 41.7367902)
41.9109712,12.4578177,1251974676,,,POINT (12.4578177 41.9109712)
41.8432476,12.5876368,1266009647,,,POINT (12.5876368 41.8432476)
41.8414449,12.5867147,1266010080,,,POINT (12.5867147 41.8414449)
41.9112977,12.4663079,1297245353,crossing,,POINT (12.4663079 41.9112977)
41.9057394,12.4695541,1297251324,,,POINT (12.4695541 41.9057394)
41.8749529,12.5234991,1308364557,,,POINT (12.5234991 41.8749529)
41.8750988,12.5233256,1308364650,,,POINT (12.5233256 41.8750988)
41.9299428,12.4750232,1316452756,,,POINT (12.4750232 41.9299428)
41.9286493,12.4779443,1316462203,,,POINT (12.4779443 41.9286493)
41.8566275,12.59777,1334462268,,,POINT (12.59777 41.8566275)
41.8562032,12.5988702,1334462272,,,POINT (12.5988702 41.8562032)
41.7920429,12.3413199,1336806839,,,POINT (12.3413199 41.7920429)
41.934251,12.5246634,1425750301,,,POINT (12.5246634 41.934251)
41.7643415,12.3110626,1444430237,,,POINT (12.3110626 41.7643415)
41.7484507,12.3691716,1445311035,,,POINT (12.3691716 41.7484507)
41.9365948,12.46675,1510130995,,,POINT (12.46675 41.9365948)
41.91013,12.5722124,1568481724,,,POINT (12.5722124 41.91013)
41.910196,12.5724069,1568481727,,,POINT (12.5724069 41.910196)
41.9106998,12.5719828,1568481732,,,POINT (12.5719828 41.9106998)
41.9107204,12.5720795,1568481733,,,POINT (12.5720795 41.9107204)
41.9198297,12.5659616,1568481784,,,POINT (12.5659616 41.9198297)
