u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,bridge,tunnel,access,width,ref
301673748,302178164,0,120514954,4,Via Tuscolana,secondary,50,False,61.927,"LINESTRING (12.5260149 41.8766453, 12.5260681 41.8766064, 12.5260913 41.8765895, 12.5261224 41.8765668, 12.5265474 41.8762542)",,,,,
301680969,1275173924,0,"[108734533, 108734540, 108734542, 112096465, 185334771, 100135478, 65755038]",4,Via Tuscolana,secondary,50,False,337.769,"LINESTRING (12.5295714 41.874178, 12.5292469 41.8743928, 12.5285856 41.87484, 12.5284803 41.8749135, 12.5280819 41.8751917, 12.5280084 41.875243, 12.5277617 41.8754069, 12.5275969 41.8755201, 12.5271591 41.875826, 12.5268358 41.8760518, 12.5266854 41.8761569, 12.5265716 41.8762364)",,,,,
302178164,301673748,0,120514954,4,Via Tuscolana,secondary,50,False,61.927,"LINESTRING (12.5265474 41.8762542, 12.5261224 41.8765668, 12.5260913 41.8765895, 12.5260681 41.8766064, 12.5260149 41.8766453)",,,,,
462618016,667984647,0,"[121996219, 11490990, 200237030]",3,Lungotevere Aventino,"['primary', 'secondary']",50,True,672.479,"LINESTRING (12.4757915 41.8828846, 12.4764057 41.8833382, 12.4777572 41.8844765, 12.4786857 41.8852149, 12.479016 41.8855063, 12.4792694 41.8857929, 12.4797551 41.8863447, 12.4799259 41.8866014, 12.4800965 41.8869084, 12.480182 41.8871174, 12.4802227 41.8872234, 12.480262 41.8873314, 12.4802841 41.8873942, 12.4803048 41.887459, 12.4803421 41.8875916, 12.4803713 41.8877526)",,,,,
667984647,667984645,0,52582206,,,footway,,False,12.029,"LINESTRING (12.4803713 41.8877526, 12.4802275 41.8877682)",,,,,
667984647,1198115046,0,"[52582208, 346995489, 778306408, 778306409, 834012174, 834012175, 52582201, 52582206]",,,footway,,False,880.6650000000002,"LINESTRING (12.4803713 41.8877526, 12.4804642 41.8877425, 12.4804886 41.8878281, 12.4805206 41.8878492, 12.4805605 41.8878558, 12.4809425 41.887753, 12.4810424 41.887719, 12.4811286 41.8876896, 12.4813105 41.8876264, 12.4815439 41.8874866, 12.4817748 41.8873532, 12.4820066 41.8872058, 12.482063 41.8871573, 12.4821488 41.8870424, 12.4822048 41.8868966, 12.4822825 41.8867768, 12.4823864 41.886626, 12.4824408 41.8866544, 12.4825276 41.8867, 12.4825643 41.8867242, 12.4826009 41.8867405, 12.4826284 41.886736, 12.4826635 41.8867129, 12.4827673 41.8866261, 12.4829548 41.8864826, 12.4831799 41.8863175, 12.4833477 41.886192, 12.4835276 41.8860728, 12.4837608 41.8859393, 12.4839722 41.88581, 12.4840727 41.8857517, 12.4840637 41.8857092, 12.4840686 41.8856709, 12.4841038 41.885635, 12.4841465 41.8856092, 12.4840588 41.8855042, 12.4840272 41.8853935, 12.4840317 41.8853221, 12.4840681 41.8852357, 12.4841581 41.8851466, 12.4842272 41.8850854, 12.484361 41.8850288, 12.4844876 41.8850086, 12.4845545 41.8850101, 12.4846076 41.8849999, 12.484707 41.8850466, 12.4847957 41.885092, 12.4848893 41.885146, 12.4849799 41.8851249, 12.4850579 41.8851381, 12.4852889 41.8849981, 12.4853493 41.8849809, 12.4854874 41.8849008, 12.486066 41.8845682, 12.4866602 41.8842251, 12.486733 41.8841831, 12.4869091 41.8841024, 12.4870528 41.8840092, 12.4874185 41.8837789, 12.4875383 41.8836953, 12.4876305 41.8835909, 12.4876652 41.8835148, 12.4877015 41.8835436, 12.487759 41.8835905)",,,,,
1275173924,301680969,0,"[108734533, 108734540, 108734542, 112096465, 185334771, 100135478, 65755038]",4,Via Tuscolana,secondary,50,False,337.769,"LINESTRING (12.5265716 41.8762364, 12.5266854 41.8761569, 12.5268358 41.8760518, 12.5271591 41.875826, 12.5275969 41.8755201, 12.5277617 41.8754069, 12.5280084 41.875243, 12.5280819 41.8751917, 12.5284803 41.8749135, 12.5285856 41.87484, 12.5292469 41.8743928, 12.5295714 41.874178)",,,,,
251888369,251888378,0,"[347756696, 443690067]",2,Via Portuense,"['tertiary', 'secondary']",50,False,746.3240000000001,"LINESTRING (12.4684946 41.8783929, 12.4687058 41.8787842, 12.4688219 41.8789815, 12.4689401 41.8791631, 12.4690944 41.8793789, 12.4698978 41.8804781, 12.4700534 41.8806675, 12.4702439 41.8808563, 12.4704719 41.8810452, 12.4706142 41.8811621, 12.4711415 41.8815887, 12.4728049 41.8828818, 12.473819 41.8837318)",,,,,
130216139,261011874,0,"[818836480, 818836479]",,,cycleway,,True,407.41200000000003,"LINESTRING (12.4844086 41.8673351, 12.4841242 41.867377, 12.481535 41.8674736, 12.4813283 41.8675003, 12.4805421 41.8676901, 12.4804012 41.8677206, 12.4803349 41.8677331, 12.4801022 41.867757, 12.4795508 41.8677626)",yes,,,,
246259984,1108442064,0,217529349,,,cycleway,,False,45.939,"LINESTRING (12.4993958 41.8817653, 12.4989372 41.8815327)",,,,,
246633881,1108442064,0,52582587,2,,cycleway,,False,393.423,"LINESTRING (12.4962804 41.8800584, 12.4964464 41.8800697, 12.4965798 41.8801783, 12.4966928 41.88029, 12.496796 41.8804165, 12.4968819 41.8805418, 12.4969642 41.880656, 12.4970625 41.8808046, 12.4971288 41.8809077, 12.4972319 41.8810796, 12.4973388 41.8812196, 12.4974468 41.8813547, 12.4975831 41.8815291, 12.4976801 41.881658, 12.4978079 41.8818079, 12.4978951 41.8819012, 12.4979994 41.8819945, 12.4980854 41.88204, 12.498159 41.8820388, 12.4982699 41.8820401, 12.4983801 41.8820402, 12.4985097 41.8820473, 12.4985778 41.8820606, 12.4986905 41.8820674, 12.4987752 41.8820623, 12.4988474 41.8820094, 12.4988785 41.8819519, 12.4988977 41.8818967, 12.4988959 41.8817754, 12.4989006 41.8815819, 12.4989372 41.8815327)",,,,,
251885756,667984629,0,"[23275481, 23275482, 159093269]",,Ponte Sublicio,cycleway,10,False,107.818,"LINESTRING (12.4757364 41.8829716, 12.4756866 41.8830128, 12.4748519 41.8836538, 12.4748357 41.8836715)",yes,,,,
251885756,667984645,0,818831819,,,footway,10,True,660.5870000000001,"LINESTRING (12.4757364 41.8829716, 12.4758943 41.8830908, 12.4761958 41.8833311, 12.4768713 41.88388, 12.4769183 41.883918, 12.4772621 41.8842057, 12.4777599 41.8846006, 12.4784455 41.8851402, 12.4791029 41.8858106, 12.4795472 41.8863423, 12.4797608 41.8866458, 12.4800006 41.887044, 12.480123 41.8874054, 12.4802275 41.8877682)",,,,,
255019799,7869180937,0,843615962,2,,cycleway,,False,5.637,"LINESTRING (12.2961634 41.7221427, 12.2961299 41.7220986)",,,,,
255333227,964672725,0,"[39031972, 251219687, 24178033, 23578684, 23578685]",2,,cycleway,20,False,1020.6350000000001,"LINESTRING (12.4962198 41.8589093, 12.4968475 41.8593488, 12.4973369 41.8597086, 12.4973571 41.8597892, 12.4974166 41.8598867, 12.4975193 41.8600068, 12.4976 41.8601414, 12.4976867 41.8603653, 12.4977004 41.8604129, 12.497712 41.8604862, 12.4977191 41.8605649, 12.4977251 41.8607407, 12.4976986 41.8608901, 12.497693 41.8609219, 12.497663 41.8610161, 12.4976401 41.8610914, 12.497282 41.8623366, 12.4970774 41.8630182, 12.496936 41.8634845, 12.4969402 41.8634933, 12.496954 41.8635002, 12.496997 41.8635065, 12.4970653 41.863523, 12.4971194 41.8635433, 12.4971789 41.8635895, 12.4972802 41.8636059, 12.4974026 41.8636304, 12.4974752 41.8636409, 12.4975466 41.8636513, 12.4976682 41.8636716, 12.4977969 41.8636891, 12.497762 41.8637955, 12.4977473 41.8638654, 12.4978257 41.8638749, 12.4978521 41.863897, 12.4978485 41.8639269, 12.4977763 41.8641589, 12.4974342 41.8652364, 12.4974319 41.8653017, 12.4974115 41.8653535, 12.4973663 41.8654952, 12.4972877 41.8657645, 12.4971492 41.8662187, 12.4970998 41.8662816, 12.4970589 41.8663292, 12.4970435 41.8664364, 12.49702 41.8664765, 12.4969619 41.8669841)",,,,,
255333392,255333456,0,"[23578704, 752625162, 23578714]",2,,"['cycleway', 'path']",10,False,682.494,"LINESTRING (12.4905073 41.8546372, 12.4905161 41.8547632, 12.4905173 41.8547932, 12.4907732 41.854978, 12.4908245 41.8550149, 12.4916187 41.8555743, 12.4918591 41.855731, 12.4921485 41.8559399, 12.492328 41.856072, 12.4924419 41.8561537, 12.4924984 41.8561179, 12.4925325 41.8561039, 12.4925732 41.8561257, 12.492684 41.8561993, 12.4927653 41.8562492, 12.4928243 41.8562846, 12.4928634 41.8563114, 12.4927186 41.8564345, 12.492687 41.8564651, 12.4931154 41.8567774, 12.4938331 41.8573005, 12.494862 41.8580308, 12.4948849 41.8580803, 12.4949292 41.8581009, 12.4950716 41.8581656, 12.4951402 41.8582057, 12.4956263 41.8585447, 12.4958639 41.8587203, 12.4959204 41.8587282, 12.4959798 41.8587153, 12.4960174 41.8587099)",,,,,
255333456,255333392,0,"[23578704, 23578714, 752625162]",2,,"['cycleway', 'path']",10,False,682.4939999999999,"LINESTRING (12.4960174 41.8587099, 12.4959798 41.8587153, 12.4959204 41.8587282, 12.4958639 41.8587203, 12.4956263 41.8585447, 12.4951402 41.8582057, 12.4950716 41.8581656, 12.4949292 41.8581009, 12.4948849 41.8580803, 12.494862 41.8580308, 12.4938331 41.8573005, 12.4931154 41.8567774, 12.492687 41.8564651, 12.4927186 41.8564345, 12.4928634 41.8563114, 12.4928243 41.8562846, 12.4927653 41.8562492, 12.492684 41.8561993, 12.4925732 41.8561257, 12.4925325 41.8561039, 12.4924984 41.8561179, 12.4924419 41.8561537, 12.492328 41.856072, 12.4921485 41.8559399, 12.4918591 41.855731, 12.4916187 41.8555743, 12.4908245 41.8550149, 12.4907732 41.854978, 12.4905173 41.8547932, 12.4905161 41.8547632, 12.4905073 41.8546372)",,,,,
257668929,286995630,0,"[778187927, 778187928, 131189025, 131189026, 167467566, 84203825, 551466301, 429433035, 429433036, 23946445, 23946446, 23946447, 118656845, 118656848, 117092178, 23946454, 168612313, 275759325, 51244777, 543752953]",2,Pista ciclabile del Tevere,cycleway,10,False,7808.277000000002,"LINESTRING (12.4703619 41.8611838, 12.4705507 41.8612078, 12.4707838 41.8612493, 12.4711428 41.861307, 12.4713972 41.861344, 12.4716607 41.8613952, 12.4718912 41.8614451, 12.4722892 41.8615483, 12.4725437 41.8616277, 12.4727937 41.8617231, 12.4729868 41.8618042, 12.473163 41.8618878, 12.473457 41.8620291, 12.4735985 41.862129, 12.4736397 41.8621607, 12.473658 41.8621746, 12.4736883 41.8621977, 12.4737598 41.8622232, 12.4738335 41.8622548, 12.4738909 41.8622848, 12.4739642 41.8623468, 12.4739974 41.862385, 12.4741021 41.862425, 12.4742498 41.8625169, 12.474569 41.8627497, 12.4747836 41.8629406, 12.4749389 41.8630978, 12.4750502 41.8632437, 12.475134 41.863372, 12.4751387 41.863405, 12.4751488 41.8634464, 12.4752022 41.8634792, 12.4752453 41.8635164, 12.475314 41.8636451, 12.4753402 41.8636946, 12.4753762 41.8637626, 12.4754379 41.8639497, 12.475479 41.8641036, 12.4754926 41.8641543, 12.4755186 41.8642934, 12.4755299 41.8644498, 12.4755236 41.8645928, 12.4755096 41.864716, 12.4754813 41.8648426, 12.4754398 41.8649924, 12.4753561 41.8652144, 12.4752517 41.8653947, 12.4751976 41.8654892, 12.4751531 41.8655641, 12.4749937 41.865776, 12.4749353 41.8658458, 12.4748954 41.8658922, 12.4748847 41.865912, 12.4748941 41.8659382, 12.4749428 41.8659685, 12.4750196 41.865999, 12.4750703 41.8660223, 12.4751196 41.8660477, 12.475138 41.8660676, 12.4751476 41.8660906, 12.4751475 41.8661148, 12.4751378 41.8661378, 12.4751193 41.8661576, 12.4748193 41.8664295, 12.4746935 41.8665717, 12.4745623 41.8667314, 12.4744454 41.8668527, 12.474323 41.8669508, 12.4741739 41.8670816, 12.4740559 41.8671942, 12.473953 41.8672954, 12.4737297 41.8675506, 12.4733538 41.8680286, 12.4732549 41.8681616, 12.473195 41.8682576, 12.4731084 41.868407, 12.4729594 41.8687011, 12.4727185 41.8691884, 12.4726178 41.8693942, 12.4724342 41.8697723, 12.4719419 41.8707825, 12.4715972 41.8715084, 12.471579 41.8715972, 12.4715373 41.8716985, 12.4713865 41.87204, 12.4712305 41.872351, 12.4710062 41.8727669, 12.4707768 41.8732711, 12.4704814 41.8739578, 12.4702401 41.8745332, 12.4701911 41.874684, 12.4701984 41.8747573, 12.4701388 41.8750118, 12.469991 41.8754015, 12.4698466 41.8755863, 12.4696502 41.8761477, 12.4695892 41.8763598, 12.4694669 41.8767433, 12.469407 41.877007, 12.4693518 41.8773872, 12.4693311 41.8777435, 12.4693682 41.8781108, 12.4694443 41.8785085, 12.4695402 41.8788378, 12.4696786 41.8791594, 12.4698989 41.8796209, 12.4701635 41.8799946, 12.4703852 41.8802682, 12.4705895 41.8804852, 12.4709541 41.880808, 12.4713566 41.8811121, 12.4721102 41.8816445, 12.473094 41.8823333, 12.4739348 41.8829112, 12.4742788 41.8831628, 12.4746782 41.8834864, 12.4747395 41.8835001, 12.474923 41.8836313, 12.4750651 41.883736, 12.4755568 41.8841099, 12.4759162 41.8844142, 12.476158 41.884589, 12.4763745 41.8847728, 12.4765321 41.8849239, 12.4767086 41.8850633, 12.4770752 41.8853511, 12.4774264 41.885648, 12.4776788 41.8858766, 12.4780143 41.8862202, 12.4782436 41.8864521, 12.4785751 41.8868346, 12.4787127 41.8870421, 12.4788818 41.8873326, 12.4789893 41.8876242, 12.4790567 41.8878944, 12.4790337 41.8880806, 12.4789996 41.8882132, 12.4788639 41.8885608, 12.4786964 41.8888132, 12.4785542 41.8889886, 12.4784295 41.889135, 12.4782715 41.8892566, 12.4780629 41.8893787, 12.4775218 41.8896195, 12.4769368 41.8898386, 12.4764864 41.8899938, 12.4762236 41.8900725, 12.4756864 41.8902249, 12.4753182 41.8903267, 12.474631 41.8905006, 12.4738869 41.8905848, 12.4731342 41.8907014, 12.472682 41.8908024, 12.4722416 41.8909315, 12.4717593 41.8911192, 12.4714642 41.8912838, 12.4710192 41.8915383, 12.4706264 41.8918154, 12.4699724 41.8923102, 12.4696691 41.8925342, 12.4670397 41.8946174, 12.4657527 41.8956381, 12.4654313 41.8958913, 12.4651749 41.8961122, 12.4649305 41.8963655, 12.4638459 41.8977525, 12.4632636 41.8985338, 12.4630801 41.8988393, 12.4629483 41.8991508, 12.4628888 41.8993793, 12.46288 41.899639, 12.4628803 41.8998223, 12.4628828 41.8999719, 12.4629093 41.9001528, 12.4629293 41.9002336, 12.4629589 41.9003419, 12.4630187 41.9004872, 12.4630919 41.9006592, 12.4631991 41.9008374, 12.4634826 41.9011467, 12.4637524 41.9013518, 12.4640698 41.9015923, 12.4646566 41.9020023, 12.464943 41.9021415, 12.4652489 41.9022641, 12.4654767 41.9023355, 12.4656425 41.9023737, 12.465781 41.902392, 12.4660401 41.9024187, 12.4661717 41.9024165, 12.4663243 41.9024152, 12.4664993 41.9024197, 12.466773 41.9024441, 12.4668214 41.9024484, 12.4682668 41.9025051, 12.4693463 41.9026083, 12.4698358 41.9026931, 12.4703248 41.9027994, 12.4705393 41.9028682, 12.4710946 41.9030694, 12.4716228 41.903259, 12.4718593 41.9033522, 12.4723944 41.9036112, 12.4728384 41.9038875, 12.4730595 41.9040876, 12.4732383 41.9042865, 12.473434 41.9045774, 12.4735049 41.90472, 12.4735635 41.9048477, 12.4736127 41.9049806, 12.4736694 41.9051854, 12.4737012 41.9052233, 12.4737591 41.9053241, 12.473784 41.9054755, 12.4738426 41.9059047, 12.4737957 41.9064318, 12.4736412 41.9069685, 12.4733679 41.9074443, 12.4720904 41.9090808, 12.471916 41.9093915, 12.4718975 41.909467, 12.4718183 41.909676, 12.471798 41.9097206, 12.4717557 41.9098138, 12.4714063 41.9105324, 12.4708528 41.9118177, 12.4707315 41.9121238, 12.4705533 41.9125965, 12.4702255 41.9136382)",,yes,,,
260349312,428406901,0,36851049,,,cycleway,,False,395.914,"LINESTRING (12.3976116 41.8575154, 12.3976191 41.8575941, 12.3983825 41.8580646, 12.3989947 41.8583419, 12.3997831 41.8586329, 12.4004487 41.8588308, 12.4017744 41.8590901)",,,,,
260349554,428406901,0,36851050,,,cycleway,,False,7.742,"LINESTRING (12.4017945 41.8590221, 12.4017744 41.8590901)",,,,,
260974699,2408850575,0,232035695,2,,cycleway,,False,72.79200000000002,"LINESTRING (12.5779402 41.9145193, 12.5779171 41.9144619, 12.5778295 41.9144269, 12.5777494 41.9144332, 12.5776741 41.9144513, 12.5775427 41.9144969, 12.5774102 41.9145507, 12.5772715 41.9145988, 12.5772317 41.9145378)",,,,,
261271975,422194981,0,168699389,2,,cycleway,,False,242.00799999999998,"LINESTRING (12.4901171 41.9190272, 12.490285 41.9191805, 12.4905985 41.9194505, 12.4908333 41.9196391, 12.490943 41.9197622, 12.4910333 41.9198914, 12.4915326 41.9207171, 12.4916241 41.9208685)",,,,,
262064887,5035246373,0,515635683,,,cycleway,,False,25.69,"LINESTRING (12.4230141 41.8681053, 12.4232928 41.8682068)",,,,,
266790610,302128491,0,23953166,2,,cycleway,20,False,129.656,"LINESTRING (12.4908032 41.8541837, 12.490683 41.8540982, 12.4896712 41.8533783)",,,,,
270302462,1695386464,0,157689684,2,,cycleway,,False,264.491,"LINESTRING (12.4920441 41.8437099, 12.4920052 41.8436339, 12.4921347 41.8435131, 12.4923983 41.843365, 12.4928091 41.843228, 12.4929457 41.8431931, 12.4931393 41.8431325, 12.4934039 41.8430605, 12.4939705 41.8429052, 12.4946715 41.8427039, 12.4947249 41.8426367)",,,,,
278563045,799889207,0,"[65580890, 65580892]",2,,cycleway,,False,77.159,"LINESTRING (12.5649041 41.9199284, 12.5650016 41.9199219, 12.5650288 41.9197735, 12.5650348 41.9197458, 12.5650453 41.9197257, 12.5650583 41.9197154, 12.5651486 41.9196637, 12.5655273 41.9195063)",,yes,,,
281632884,385017203,0,29919698,,,cycleway,,False,667.29,"LINESTRING (12.5632688 41.847941, 12.5620129 41.8492182, 12.561689 41.8495579, 12.5606748 41.8506215, 12.5600138 41.8513148, 12.5596187 41.8517334, 12.5592795 41.8520765, 12.5592322 41.8521438, 12.5591143 41.8522772, 12.5590041 41.8523808, 12.5585307 41.8526905, 12.5585066 41.8527062, 12.5585242 41.8527232, 12.5585489 41.8527416)",,,,,
286975492,286975492,0,26209379,2,Pista ciclabile Tor di Valle,cycleway,,False,28.485000000000003,"LINESTRING (12.4192994 41.8082158, 12.4192441 41.8082317, 12.4192384 41.8082781, 12.4192989 41.8083039, 12.419347 41.808263, 12.4192994 41.8082158)",,,,,
286975492,286975492,1,26209379,2,Pista ciclabile Tor di Valle,cycleway,,False,28.485000000000003,"LINESTRING (12.4192994 41.8082158, 12.419347 41.808263, 12.4192989 41.8083039, 12.4192384 41.8082781, 12.4192441 41.8082317, 12.4192994 41.8082158)",,,,,
286975492,286992747,0,"[33116984, 33116985, 26209379]",2,Pista ciclabile Tor di Valle,cycleway,,False,4997.878000000001,"LINESTRING (12.4192994 41.8082158, 12.4193169 41.8081381, 12.4194281 41.8081289, 12.4195215 41.808161, 12.4196536 41.8083123, 12.41976 41.8084562, 12.4198866 41.8087536, 12.4203446 41.8104148, 12.4207822 41.8121579, 12.4212141 41.8138802, 12.4213668 41.8144171, 12.4214786 41.8146809, 12.4216817 41.8151615, 12.4219409 41.8157723, 12.4220758 41.8162362, 12.4223977 41.817867, 12.4224703 41.8184074, 12.4225059 41.819043, 12.422513 41.8200528, 12.4225197 41.821954, 12.4225156 41.8238506, 12.4225275 41.8252147, 12.4225227 41.8265684, 12.4225432 41.826802, 12.4226641 41.8271392, 12.4226702 41.8272383, 12.4226645 41.8279275, 12.4226966 41.8285568, 12.4228043 41.8291763, 12.4228624 41.8295769, 12.4228493 41.8298184, 12.4228595 41.8299828, 12.4230848 41.8305367, 12.4233018 41.8308902, 12.4236133 41.8312299, 12.4240358 41.8315592, 12.4243715 41.831744, 12.424764 41.8319145, 12.4249789 41.8320013, 12.4252649 41.832102, 12.4255071 41.8321611, 12.425693 41.8321898, 12.425853 41.8321893, 12.4263346 41.8321489, 12.4266679 41.8321327, 12.4273862 41.8319578, 12.428026 41.8317768, 12.4284505 41.8315028, 12.4290066 41.8309092, 12.4302173 41.8296091, 12.4315068 41.8280552, 12.4325237 41.8267653, 12.4327816 41.8264879, 12.4330396 41.8262575, 12.4332965 41.8260602, 12.4336797 41.8258045, 12.4344983 41.8253889, 12.4353213 41.825101, 12.4362824 41.8249052, 12.4371694 41.8248358, 12.4380378 41.8248581, 12.439002 41.8249926, 12.4401065 41.8253177, 12.4417299 41.8258932, 12.4425798 41.8261783, 12.4430625 41.8263073, 12.444033 41.8263176, 12.444441 41.8264231, 12.4449661 41.8266192, 12.4451699 41.8266447, 12.4453463 41.8266475, 12.4456189 41.8265552, 12.4458625 41.8263856, 12.4459313 41.8263538, 12.4460153 41.826357, 12.4460679 41.8263835, 12.44617 41.8264758, 12.4462762 41.8265979, 12.4462636 41.8266372)",yes,,,,
286992747,286975492,0,"[33116984, 33116985, 26209379]",2,Pista ciclabile Tor di Valle,cycleway,,False,4997.878000000003,"LINESTRING (12.4462636 41.8266372, 12.4462762 41.8265979, 12.44617 41.8264758, 12.4460679 41.8263835, 12.4460153 41.826357, 12.4459313 41.8263538, 12.4458625 41.8263856, 12.4456189 41.8265552, 12.4453463 41.8266475, 12.4451699 41.8266447, 12.4449661 41.8266192, 12.444441 41.8264231, 12.444033 41.8263176, 12.4430625 41.8263073, 12.4425798 41.8261783, 12.4417299 41.8258932, 12.4401065 41.8253177, 12.439002 41.8249926, 12.4380378 41.8248581, 12.4371694 41.8248358, 12.4362824 41.8249052, 12.4353213 41.825101, 12.4344983 41.8253889, 12.4336797 41.8258045, 12.4332965 41.8260602, 12.4330396 41.8262575, 12.4327816 41.8264879, 12.4325237 41.8267653, 12.4315068 41.8280552, 12.4302173 41.8296091, 12.4290066 41.8309092, 12.4284505 41.8315028, 12.428026 41.8317768, 12.4273862 41.8319578, 12.4266679 41.8321327, 12.4263346 41.8321489, 12.425853 41.8321893, 12.425693 41.8321898, 12.4255071 41.8321611, 12.4252649 41.832102, 12.4249789 41.8320013, 12.424764 41.8319145, 12.4243715 41.831744, 12.4240358 41.8315592, 12.4236133 41.8312299, 12.4233018 41.8308902, 12.4230848 41.8305367, 12.4228595 41.8299828, 12.4228493 41.8298184, 12.4228624 41.8295769, 12.4228043 41.8291763, 12.4226966 41.8285568, 12.4226645 41.8279275, 12.4226702 41.8272383, 12.4226641 41.8271392, 12.4225432 41.826802, 12.4225227 41.8265684, 12.4225275 41.8252147, 12.4225156 41.8238506, 12.4225197 41.821954, 12.422513 41.8200528, 12.4225059 41.819043, 12.4224703 41.8184074, 12.4223977 41.817867, 12.4220758 41.8162362, 12.4219409 41.8157723, 12.4216817 41.8151615, 12.4214786 41.8146809, 12.4213668 41.8144171, 12.4212141 41.8138802, 12.4207822 41.8121579, 12.4203446 41.8104148, 12.4198866 41.8087536, 12.41976 41.8084562, 12.4196536 41.8083123, 12.4195215 41.808161, 12.4194281 41.8081289, 12.4193169 41.8081381, 12.4192994 41.8082158)",yes,,,,
286992824,339558423,0,"[33052778, 33052779, 26209436]",2,Pista ciclabile Tor di Valle,cycleway,,False,1817.5780000000004,"LINESTRING (12.4447566 41.8276201, 12.4448758 41.8277406, 12.4451455 41.8279011, 12.4456397 41.8281908, 12.4473808 41.8291816, 12.4502469 41.8308091, 12.4515395 41.8315935, 12.4528264 41.832548, 12.4546732 41.83397, 12.4552755 41.834411, 12.4558453 41.8349158, 12.4562807 41.8353662, 12.4566057 41.8356761, 12.4568956 41.8359835, 12.457055 41.8361031, 12.4569124 41.8361864, 12.4569184 41.8362905, 12.4569874 41.8363882, 12.4577804 41.8371822, 12.458541 41.8379954, 12.4589065 41.8383781, 12.4590175 41.8385827, 12.4593395 41.8388661, 12.459512 41.8390236, 12.459617 41.8391335, 12.4596979 41.8391635)",,,,,
286993430,2804378080,0,"[77073130, 275759323, 28325109, 477510070, 232132601, 93997050, 28325211, 381454430]",2,"['Via Pescaglia', 'Pista ciclabile Riva Pian Due Torri', 'Pista ciclabile de la Magliana', 'Pista ciclabile del Tevere']",cycleway,10,False,3843.62,"LINESTRING (12.4595596 41.8387372, 12.4595247 41.8387046, 12.4594603 41.8386591, 12.4594067 41.8386341, 12.4593713 41.8386451, 12.4592673 41.8386865, 12.459184 41.8387067, 12.4569998 41.8397752, 12.4568087 41.8398838, 12.456788 41.8399227, 12.4567971 41.8399606, 12.4568174 41.8400218, 12.4569246 41.8401257, 12.4574783 41.8407365, 12.4582585 41.8415736, 12.4588071 41.8421091, 12.4593854 41.8426548, 12.4600047 41.843212, 12.4614972 41.844259, 12.4618877 41.8445092, 12.4622085 41.8447147, 12.4627998 41.8450757, 12.4632594 41.8455267, 12.46331 41.8455764, 12.4644897 41.8465562, 12.4645531 41.8466322, 12.4646585 41.8467334, 12.4647763 41.8468376, 12.464819 41.8469201, 12.4649347 41.8471326, 12.465022 41.8473791, 12.4650386 41.8475507, 12.4650475 41.8477024, 12.4650655 41.8477684, 12.4651126 41.8478591, 12.4651359 41.8479405, 12.4651424 41.8480243, 12.4651404 41.8481419, 12.4651256 41.8482323, 12.4650885 41.8483809, 12.4650307 41.8485633, 12.4649485 41.8487365, 12.4648558 41.8488816, 12.4647031 41.8490613, 12.4640691 41.8497301, 12.4640504 41.8497513, 12.4640348 41.8497689, 12.4639986 41.8498049, 12.4639415 41.849881, 12.4637157 41.8500409, 12.46345 41.8501979, 12.4626686 41.8505974, 12.4623209 41.8507371, 12.4619855 41.8508532, 12.461947 41.8508666, 12.4618834 41.8508905, 12.4618088 41.8509185, 12.4617488 41.850941, 12.4615478 41.8510498, 12.4613011 41.8511944, 12.4610789 41.8513457, 12.4607118 41.8515778, 12.4602911 41.8518533, 12.4599985 41.852079, 12.4597361 41.8523194, 12.4595506 41.8525206, 12.4594076 41.8527154, 12.4593289 41.8528183, 12.4592982 41.8528583, 12.459279 41.8528834, 12.4591191 41.8530923, 12.4589645 41.853232, 12.4588622 41.8534868, 12.4587367 41.853765, 12.4587143 41.8538444, 12.4586797 41.8539666, 12.4586428 41.854148, 12.458613 41.8542834, 12.4585925 41.8544984, 12.4585936 41.8546732, 12.458605 41.8548834, 12.4586349 41.8551192, 12.4586871 41.8553898, 12.4588271 41.8558956, 12.4589296 41.856277, 12.4589488 41.8563485, 12.4590774 41.8567454, 12.459143 41.8569807, 12.4591793 41.8570759, 12.4592646 41.8573209, 12.4593821 41.857602, 12.4595878 41.8579427, 12.459823 41.8582889, 12.4600151 41.8585188, 12.4604014 41.8589051, 12.4606302 41.8590974, 12.4607903 41.8592104, 12.461042 41.8593658, 12.4613828 41.8596023, 12.4617036 41.8598441, 12.4620864 41.8601556, 12.4624388 41.8605183, 12.463025 41.8613073, 12.46316 41.8613331, 12.4633894 41.8612703, 12.4639556 41.8611073, 12.4644736 41.8609588, 12.4647993 41.8609094, 12.4651165 41.8608898, 12.466312 41.8609499, 12.4674824 41.8609867, 12.4691863 41.8610671, 12.4695089 41.861087, 12.4697915 41.8611381, 12.469889 41.8611161, 12.4699298 41.8610847, 12.4700847 41.8611121)",yes,,,,
