y,x,osmid,highway,geometry
48.8305326,2.319263,360977,traffic_signals,POINT (2.319263 48.8305326)
48.8729517,2.3333015,361106,,POINT (2.3333015 48.8729517)
48.8836894,2.3275607,361116,traffic_signals,POINT (2.3275607 48.8836894)
48.8631344,2.2686662,367889,traffic_signals,POINT (2.2686662 48.8631344)
48.8473461,2.3867729,368014,traffic_signals,POINT (2.3867729 48.8473461)
48.8691428,2.3101251,368254,,POINT (2.3101251 48.8691428)
48.8542721,2.3054471,368272,traffic_signals,POINT (2.3054471 48.8542721)
48.8509679,2.3964579,390027,,POINT (2.3964579 48.8509679)
48.8443318,2.3420496,470136,traffic_signals,POINT (2.3420496 48.8443318)
48.8356232,2.3970758,8809435,,POINT (2.3970758 48.8356232)
48.8354342,2.3977785,15378847,,POINT (2.3977785 48.8354342)
48.8833741,2.3275098,19722936,traffic_signals,POINT (2.3275098 48.8833741)
48.8349543,2.3449903,21292407,traffic_signals,POINT (2.3449903 48.8349543)
48.8365716,2.3511666,21292412,traffic_signals,POINT (2.3511666 48.8365716)
48.854607,2.2888812,21346796,traffic_signals,POINT (2.2888812 48.854607)
48.8357339,2.3485644,21649682,traffic_signals,POINT (2.3485644 48.8357339)
48.836261,2.3501813,21649685,,POINT (2.3501813 48.836261)
48.8274854,2.3520793,21658442,,POINT (2.3520793 48.8274854)
48.8271858,2.351773,21658443,,POINT (2.351773 48.8271858)
48.8280926,2.3526934,21658445,traffic_signals,POINT (2.3526934 48.8280926)
48.8300562,2.354319,21658877,,POINT (2.354319 48.8300562)
48.8924526,2.3305179,24911715,,POINT (2.3305179 48.8924526)
48.8918534,2.3335208,24911716,traffic_signals,POINT (2.3335208 48.8918534)
48.8302089,2.332901,24912995,,POINT (2.332901 48.8302089)
48.8302394,2.3337937,24912996,traffic_signals,POINT (2.3337937 48.8302394)
48.8261281,2.3307382,24913010,,POINT (2.3307382 48.8261281)
48.824851,2.3288646,24913014,,POINT (2.3288646 48.824851)
48.8259438,2.3316904,24913023,,POINT (2.3316904 48.8259438)
48.8504738,2.3905772,25001430,traffic_signals,POINT (2.3905772 48.8504738)
48.8403343,2.3925103,25002615,,POINT (2.3925103 48.8403343)
48.8400216,2.3917669,25002663,,POINT (2.3917669 48.8400216)
48.8504684,2.3844442,25008881,traffic_signals,POINT (2.3844442 48.8504684)
48.8449097,2.3423509,25033163,,POINT (2.3423509 48.8449097)
48.8637913,2.3362593,25273423,,POINT (2.3362593 48.8637913)
48.8571857,2.3472935,25554694,,POINT (2.3472935 48.8571857)
48.8268677,2.3321003,25574314,,POINT (2.3321003 48.8268677)
48.8269371,2.3319192,25574315,,POINT (2.3319192 48.8269371)
48.8670159,2.3063219,25625650,traffic_signals,POINT (2.3063219 48.8670159)
48.8700562,2.3009879,25625959,,POINT (2.3009879 48.8700562)
48.8554507,2.3619471,26401644,,POINT (2.3619471 48.8554507)
48.8550871,2.3616693,26401696,traffic_signals,POINT (2.3616693 48.8550871)
48.884205,2.3842799,26551730,,POINT (2.3842799 48.884205)
48.8614147,2.2300683,27180835,,POINT (2.2300683 48.8614147)
48.8812167,2.3155495,27234851,,POINT (2.3155495 48.8812167)
48.8868341,2.2954143,27323225,,POINT (2.2954143 48.8868341)
48.886413,2.318484,27323501,,POINT (2.318484 48.886413)
48.8874983,2.3255897,27323728,,POINT (2.3255897 48.8874983)
48.8730914,2.3100236,32560746,traffic_signals,POINT (2.3100236 48.8730914)
48.8631099,2.286485,34816181,,POINT (2.286485 48.8631099)
48.8629418,2.2864427,34816182,,POINT (2.2864427 48.8629418)
48.8629558,2.2691588,34816424,,POINT (2.2691588 48.8629558)
48.8904998,2.3495949,57336018,traffic_signals,POINT (2.3495949 48.8904998)
48.8903348,2.3475022,57336029,,POINT (2.3475022 48.8903348)
48.8263443,2.3130444,63164022,,POINT (2.3130444 48.8263443)
48.8262834,2.3318364,82409093,,POINT (2.3318364 48.8262834)
48.8776836,2.3653881,94110200,traffic_signals,POINT (2.3653881 48.8776836)
48.8801233,2.3903015,94121562,,POINT (2.3903015 48.8801233)
48.872856,2.3544476,94143078,,POINT (2.3544476 48.872856)
48.872273,2.3559135,94143079,,POINT (2.3559135 48.872273)
48.8733866,2.3526565,94161165,,POINT (2.3526565 48.8733866)
48.8738168,2.3505169,94161169,traffic_signals,POINT (2.3505169 48.8738168)
48.875227,2.3594308,94199676,,POINT (2.3594308 48.875227)
48.8875318,2.3352648,94225415,,POINT (2.3352648 48.8875318)
48.8848962,2.3593476,94247453,traffic_signals,POINT (2.3593476 48.8848962)
48.8717748,2.3571452,123256917,,POINT (2.3571452 48.8717748)
48.8543083,2.3959136,123497818,traffic_signals,POINT (2.3959136 48.8543083)
48.8543665,2.3961334,123498921,traffic_signals,POINT (2.3961334 48.8543665)
48.9009526,2.3269328,145934030,,POINT (2.3269328 48.9009526)
48.8662925,2.3720815,151359040,,POINT (2.3720815 48.8662925)
48.8320689,2.3353577,166334756,,POINT (2.3353577 48.8320689)
48.8785424,2.4001032,203323460,,POINT (2.4001032 48.8785424)
48.8374113,2.2582683,208906482,,POINT (2.2582683 48.8374113)
48.8371065,2.2601266,208918724,,POINT (2.2601266 48.8371065)
48.8998439,2.3702734,209147808,,POINT (2.3702734 48.8998439)
48.8987811,2.3643457,209148461,,POINT (2.3643457 48.8987811)
48.8974487,2.3242343,209157796,traffic_signals,POINT (2.3242343 48.8974487)
48.8327385,2.3469587,245401812,,POINT (2.3469587 48.8327385)
48.8360543,2.3495518,245924632,,POINT (2.3495518 48.8360543)
48.8356578,2.3483187,246144547,traffic_signals,POINT (2.3483187 48.8356578)
48.8317078,2.3408724,249581621,traffic_signals,POINT (2.3408724 48.8317078)
48.8317885,2.3351811,249662614,,POINT (2.3351811 48.8317885)
48.8676518,2.3772862,256588304,,POINT (2.3772862 48.8676518)
48.8190768,2.3610162,257686887,,POINT (2.3610162 48.8190768)
48.8455474,2.3953815,257712586,traffic_signals,POINT (2.3953815 48.8455474)
48.881931,2.3929134,258046145,,POINT (2.3929134 48.881931)
48.88791,2.3799292,258075599,,POINT (2.3799292 48.88791)
48.8991808,2.3374612,267379370,,POINT (2.3374612 48.8991808)
48.8993276,2.3441363,268233209,traffic_signals,POINT (2.3441363 48.8993276)
48.8992205,2.3391944,268233762,,POINT (2.3391944 48.8992205)
48.8988423,2.3343289,268234154,,POINT (2.3343289 48.8988423)
48.881133,2.314926,277520265,,POINT (2.314926 48.881133)
48.8350428,2.3463442,287541859,traffic_signals,POINT (2.3463442 48.8350428)
48.8895453,2.3987645,320899492,,POINT (2.3987645 48.8895453)
48.8783723,2.4107353,327203983,traffic_signals,POINT (2.4107353 48.8783723)
48.8192738,2.3533099,343694131,,POINT (2.3533099 48.8192738)
48.8875293,2.3342179,346359747,,POINT (2.3342179 48.8875293)
48.876253,2.3318586,369326446,traffic_signals,POINT (2.3318586 48.876253)
48.8462178,2.27663,603958290,,POINT (2.27663 48.8462178)
48.8858802,2.382271,621294942,,POINT (2.382271 48.8858802)
48.885967,2.3821616,621297501,,POINT (2.3821616 48.885967)
48.8904966,2.3494848,655293831,,POINT (2.3494848 48.8904966)
48.8309376,2.3550611,659902154,crossing,POINT (2.3550611 48.8309376)
48.8787298,2.4013542,660512243,crossing,POINT (2.4013542 48.8787298)
48.8544187,2.3052167,666887732,,POINT (2.3052167 48.8544187)
48.8190202,2.3609858,683061165,crossing,POINT (2.3609858 48.8190202)
48.8652202,2.355672,778289757,,POINT (2.355672 48.8652202)
48.880954,2.3141361,822185560,,POINT (2.3141361 48.880954)
48.8631065,2.2688595,957634031,crossing,POINT (2.2688595 48.8631065)
48.8753307,2.4074526,1089076202,,POINT (2.4074526 48.8753307)
48.8402933,2.3924126,1284603813,,POINT (2.3924126 48.8402933)
48.8991474,2.336103,1343567542,crossing,POINT (2.336103 48.8991474)
48.8991499,2.3362804,1343567797,,POINT (2.3362804 48.8991499)
48.8965655,2.3249968,1366400405,crossing,POINT (2.3249968 48.8965655)
48.8638185,2.271851,1524863454,crossing,POINT (2.271851 48.8638185)
48.8639387,2.2716167,1524863473,crossing,POINT (2.2716167 48.8639387)
48.8640943,2.273,1524863480,crossing,POINT (2.273 48.8640943)
48.8907123,2.3455711,1673951991,,POINT (2.3455711 48.8907123)
48.8742768,2.3626226,1757697264,,POINT (2.3626226 48.8742768)
48.879251,2.3629019,1757697274,traffic_signals,POINT (2.3629019 48.879251)
48.8750392,2.4057299,1997626401,,POINT (2.4057299 48.8750392)
48.8864458,2.3181261,2208333169,,POINT (2.3181261 48.8864458)
48.8664358,2.2311452,2269558131,,POINT (2.2311452 48.8664358)
48.8991552,2.336441,2270376040,crossing,POINT (2.336441 48.8991552)
48.8983807,2.3641591,2354781583,,POINT (2.3641591 48.8983807)
48.8984617,2.3680732,2354781624,,POINT (2.3680732 48.8984617)
48.8984414,2.3667118,2354781630,,POINT (2.3667118 48.8984414)
48.8547397,2.2890223,2386532733,crossing,POINT (2.2890223 48.8547397)
48.8653665,2.3556904,2402569198,,POINT (2.3556904 48.8653665)
48.826884,2.3318474,2521663532,crossing,POINT (2.3318474 48.826884)
48.8983358,2.3612881,2537082845,,POINT (2.3612881 48.8983358)
48.832639,2.3470066,2597463114,,POINT (2.3470066 48.832639)
48.8873893,2.2948744,2722947790,crossing,POINT (2.2948744 48.8873893)
48.8845286,2.359327,2864793308,traffic_signals,POINT (2.359327 48.8845286)
48.8640162,2.3363855,3027464981,crossing,POINT (2.3363855 48.8640162)
48.8777215,2.2983559,3219846388,traffic_signals,POINT (2.2983559 48.8777215)
48.8809359,2.313992,3249325295,,POINT (2.313992 48.8809359)
48.8310705,2.3551739,4250154475,,POINT (2.3551739 48.8310705)
48.8357334,2.4060649,4359343926,,POINT (2.4060649 48.8357334)
48.8663696,2.231378,4506058054,,POINT (2.231378 48.8663696)
48.831872,2.3402605,4532171346,,POINT (2.3402605 48.831872)
48.8978085,2.3334381,4864709128,,POINT (2.3334381 48.8978085)
48.8643334,2.2733197,5002865869,,POINT (2.2733197 48.8643334)
48.9011048,2.3894769,5239603982,,POINT (2.3894769 48.9011048)
48.8345851,2.336523,5295211211,,POINT (2.336523 48.8345851)
48.8210763,2.3213353,5298929655,,POINT (2.3213353 48.8210763)
48.8208457,2.321103,5298929658,,POINT (2.321103 48.8208457)
48.8473865,2.3871218,5679638266,,POINT (2.3871218 48.8473865)
48.9009021,2.3908108,5836630808,crossing,POINT (2.3908108 48.9009021)
48.8504211,2.3926443,5939279484,,POINT (2.3926443 48.8504211)
48.8257094,2.3301228,5996528636,,POINT (2.3301228 48.8257094)
48.825035,2.3291372,5996528637,,POINT (2.3291372 48.825035)
48.8845702,2.3593299,6222542084,,POINT (2.3593299 48.8845702)
48.8503969,2.3923876,6282793831,,POINT (2.3923876 48.8503969)
48.8584753,2.3481964,6282960235,,POINT (2.3481964 48.8584753)
48.8504439,2.3867607,6282978697,,POINT (2.3867607 48.8504439)
48.8461186,2.2768641,6431722527,,POINT (2.2768641 48.8461186)
48.8921435,2.3320637,6545408547,,POINT (2.3320637 48.8921435)
48.8922046,2.3317556,6545408548,,POINT (2.3317556 48.8922046)
48.8692268,2.3101202,6620531018,,POINT (2.3101202 48.8692268)
48.8723031,2.3558254,6620540068,,POINT (2.3558254 48.8723031)
48.8791066,2.3631833,6632314607,,POINT (2.3631833 48.8791066)
48.8180598,2.3533641,6770710995,,POINT (2.3533641 48.8180598)
48.8903325,2.3467749,6831157409,,POINT (2.3467749 48.8903325)
48.8653197,2.355689,6904813615,,POINT (2.355689 48.8653197)
48.8182188,2.3604805,7218812044,,POINT (2.3604805 48.8182188)
48.8731151,2.3332301,7679407161,,POINT (2.3332301 48.8731151)
48.826185,2.3572626,360932,traffic_signals,POINT (2.3572626 48.826185)
48.8624438,2.2637168,367887,,POINT (2.2637168 48.8624438)
48.8486112,2.3943563,368010,traffic_signals,POINT (2.3943563 48.8486112)
48.8442874,2.4101755,368058,,POINT (2.4101755 48.8442874)
48.8370497,2.3900187,368083,traffic_signals,POINT (2.3900187 48.8370497)
48.8640673,2.3201227,368243,,POINT (2.3201227 48.8640673)
48.8364877,2.3876847,390252,,POINT (2.3876847 48.8364877)
48.8751368,2.2960232,661218,traffic_signals,POINT (2.2960232 48.8751368)
48.8449876,2.4019578,15378859,traffic_signals,POINT (2.4019578 48.8449876)
48.8443802,2.4413075,17975396,,POINT (2.4413075 48.8443802)
48.8744338,2.2929668,21660038,,POINT (2.2929668 48.8744338)
48.8537868,2.2262612,27181011,,POINT (2.2262612 48.8537868)
48.8815087,2.2817888,27286645,,POINT (2.2817888 48.8815087)
48.8975513,2.3446898,60766874,,POINT (2.3446898 48.8975513)
48.8628767,2.3872726,123479648,traffic_signals,POINT (2.3872726 48.8628767)
48.8277899,2.2923245,125385335,,POINT (2.2923245 48.8277899)
48.8304836,2.2922936,141600013,,POINT (2.2922936 48.8304836)
48.824282,2.318635,141606902,,POINT (2.318635 48.824282)
48.8659897,2.3707264,151357502,,POINT (2.3707264 48.8659897)
48.8485177,2.3024568,174026196,,POINT (2.3024568 48.8485177)
48.8390572,2.390092,225943178,,POINT (2.390092 48.8390572)
48.8257932,2.3573914,252659093,,POINT (2.3573914 48.8257932)
48.8875714,2.2877878,268140568,,POINT (2.2877878 48.8875714)
48.8975375,2.3289366,268238167,,POINT (2.3289366 48.8975375)
48.8771474,2.2844348,299014749,,POINT (2.2844348 48.8771474)
48.9003505,2.34413,320153318,,POINT (2.34413 48.9003505)
48.8880825,2.2888357,353192572,,POINT (2.2888357 48.8880825)
48.8879616,2.2885639,353192573,,POINT (2.2885639 48.8879616)
48.8872542,2.2871374,353192575,,POINT (2.2871374 48.8872542)
48.8610808,2.2286332,356299716,,POINT (2.2286332 48.8610808)
48.8662104,2.3695437,431394161,,POINT (2.3695437 48.8662104)
48.866316,2.3689635,431394904,,POINT (2.3689635 48.866316)
48.8481541,2.301929,431487272,,POINT (2.301929 48.8481541)
48.8650073,2.3758384,505081264,,POINT (2.3758384 48.8650073)
48.8653854,2.3738779,505081271,,POINT (2.3738779 48.8653854)
48.8230915,2.3582316,507690041,crossing,POINT (2.3582316 48.8230915)
48.8344699,2.3339231,510569861,,POINT (2.3339231 48.8344699)
48.8894788,2.2916757,664019614,,POINT (2.2916757 48.8894788)
48.8872829,2.2871097,1363278458,,POINT (2.2871097 48.8872829)
48.8864174,2.2856462,1759306817,,POINT (2.2856462 48.8864174)
48.8877102,2.2945904,2052621893,crossing,POINT (2.2945904 48.8877102)
48.8500562,2.3848901,2297964803,crossing,POINT (2.3848901 48.8500562)
48.8620041,2.2619832,2406388160,,POINT (2.2619832 48.8620041)
48.8306686,2.3558954,2499743233,traffic_signals,POINT (2.3558954 48.8306686)
48.8446922,2.405448,2784211975,,POINT (2.405448 48.8446922)
48.8423904,2.44877,3121908777,,POINT (2.44877 48.8423904)
48.8863692,2.2855275,3202256734,,POINT (2.2855275 48.8863692)
48.8627023,2.3191112,4508646363,,POINT (2.3191112 48.8627023)
48.8882653,2.2940237,4622395525,crossing,POINT (2.2940237 48.8882653)
48.8749877,2.2912309,5263805755,traffic_signals,POINT (2.2912309 48.8749877)
48.883666,2.3273618,5291668659,traffic_signals,POINT (2.3273618 48.883666)
48.834633,2.3375053,5295211210,,POINT (2.3375053 48.834633)
48.8985402,2.344198,5793558745,,POINT (2.344198 48.8985402)
48.8442984,2.4100398,5895963300,,POINT (2.4100398 48.8442984)
48.8816679,2.2810625,6088222351,,POINT (2.2810625 48.8816679)
48.8669117,2.3658603,7112415807,,POINT (2.3658603 48.8669117)
48.827867,2.2923237,7636507895,,POINT (2.2923237 48.827867)
48.845782,2.3675155,361029,,POINT (2.3675155 48.845782)
48.8508902,2.3672854,361032,traffic_signals,POINT (2.3672854 48.8508902)
48.848785,2.3679961,361036,traffic_signals,POINT (2.3679961 48.848785)
48.8685611,2.3630587,361084,,POINT (2.3630587 48.8685611)
48.8785307,2.3540413,361102,,POINT (2.3540413 48.8785307)
48.8838548,2.3494771,361112,traffic_signals,POINT (2.3494771 48.8838548)
48.8311993,2.3543524,361730,traffic_signals,POINT (2.3543524 48.8311993)
48.8317022,2.3579381,361737,traffic_signals,POINT (2.3579381 48.8317022)
48.8313526,2.3568606,361738,traffic_signals,POINT (2.3568606 48.8313526)
48.8322428,2.3560813,361740,traffic_signals,POINT (2.3560813 48.8322428)
48.8273743,2.3691247,366596,,POINT (2.3691247 48.8273743)
48.8627116,2.2664623,367888,,POINT (2.2664623 48.8627116)
48.8793121,2.3570795,367937,traffic_signals,POINT (2.3570795 48.8793121)
48.8829391,2.3704106,367951,,POINT (2.3704106 48.8829391)
48.8404205,2.3789998,367997,,POINT (2.3789998 48.8404205)
48.8442794,2.3815641,367998,traffic_signals,POINT (2.3815641 48.8442794)
48.8406596,2.4090095,368057,,POINT (2.4090095 48.8406596)
48.8353603,2.406596,368068,,POINT (2.406596 48.8353603)
48.8424248,2.3854014,368079,traffic_signals,POINT (2.3854014 48.8424248)
48.8523738,2.3604658,368140,traffic_signals,POINT (2.3604658 48.8523738)
48.849624,2.3560332,368147,,POINT (2.3560332 48.849624)
48.8621629,2.3369827,368204,,POINT (2.3369827 48.8621629)
48.8653053,2.3272651,368207,,POINT (2.3272651 48.8653053)
48.8339797,2.3647847,382052,,POINT (2.3647847 48.8339797)
48.8482123,2.3943442,390056,traffic_signals,POINT (2.3943442 48.8482123)
48.8347063,2.3313128,430784,traffic_signals,POINT (2.3313128 48.8347063)
48.8697616,2.3661837,430803,,POINT (2.3661837 48.8697616)
48.8326932,2.2883604,442197,,POINT (2.2883604 48.8326932)
48.8490538,2.4115116,442316,,POINT (2.4115116 48.8490538)
48.8910624,2.3025282,442321,,POINT (2.3025282 48.8910624)
48.8578087,2.3352956,470145,traffic_signals,POINT (2.3352956 48.8578087)
48.857476,2.2910099,470177,traffic_signals,POINT (2.2910099 48.857476)
48.8605421,2.2956191,470180,,POINT (2.2956191 48.8605421)
48.8386737,2.3366476,471728,,POINT (2.3366476 48.8386737)
48.8409161,2.2969985,644085,,POINT (2.2969985 48.8409161)
48.87525,2.3242781,661213,traffic_signals,POINT (2.3242781 48.87525)
48.832078,2.3972957,704784,traffic_signals,POINT (2.3972957 48.832078)
48.8302432,2.3622151,792954,,POINT (2.3622151 48.8302432)
48.8294349,2.3653992,792967,,POINT (2.3653992 48.8294349)
48.8285922,2.3655156,792989,,POINT (2.3655156 48.8285922)
48.8277737,2.3645499,792991,,POINT (2.3645499 48.8277737)
48.8625524,2.3092277,4616532,,POINT (2.3092277 48.8625524)
48.8639207,2.2989008,4616541,,POINT (2.2989008 48.8639207)
48.8629912,2.2952027,4616542,,POINT (2.2952027 48.8629912)
48.8482836,2.3157894,4616570,traffic_signals,POINT (2.3157894 48.8482836)
48.8483496,2.3760104,14950168,traffic_signals,POINT (2.3760104 48.8483496)
48.8365305,2.3720777,14956508,,POINT (2.3720777 48.8365305)
48.8202488,2.3718269,15035516,,POINT (2.3718269 48.8202488)
48.8210158,2.3702865,15035518,,POINT (2.3702865 48.8210158)
48.8389187,2.3881454,15378800,,POINT (2.3881454 48.8389187)
48.837249,2.3977892,15378836,,POINT (2.3977892 48.837249)
48.8451089,2.4020463,15378854,traffic_signals,POINT (2.4020463 48.8451089)
48.8297738,2.3570855,15435230,,POINT (2.3570855 48.8297738)
48.876166,2.3582923,15644058,,POINT (2.3582923 48.876166)
48.8354776,2.3692631,15859505,,POINT (2.3692631 48.8354776)
48.8356684,2.3698368,15859507,,POINT (2.3698368 48.8356684)
48.8976299,2.3854683,17348293,traffic_signals,POINT (2.3854683 48.8976299)
48.8707718,2.3654048,17809151,,POINT (2.3654048 48.8707718)
48.8311038,2.3442585,17975526,traffic_signals,POINT (2.3442585 48.8311038)
48.883497,2.3278389,19722934,crossing,POINT (2.3278389 48.883497)
48.8835003,2.3466423,19723384,,POINT (2.3466423 48.8835003)
48.8832386,2.3467659,19723387,traffic_signals,POINT (2.3467659 48.8832386)
48.8546205,2.3425388,21305936,,POINT (2.3425388 48.8546205)
48.8449989,2.3106883,21346786,,POINT (2.3106883 48.8449989)
48.8708899,2.3248451,21379135,traffic_signals,POINT (2.3248451 48.8708899)
48.820801,2.3210697,21389560,traffic_signals,POINT (2.3210697 48.820801)
48.8320676,2.3499045,21648733,,POINT (2.3499045 48.8320676)
48.8284441,2.3530172,21658510,,POINT (2.3530172 48.8284441)
48.8309873,2.3481524,21659155,,POINT (2.3481524 48.8309873)
48.8478909,2.3982914,24636522,,POINT (2.3982914 48.8478909)
48.8479739,2.3973906,24636546,,POINT (2.3973906 48.8479739)
48.848522,2.3975046,24637024,,POINT (2.3975046 48.848522)
48.8484334,2.398381,24637028,,POINT (2.398381 48.8484334)
48.8490158,2.4092344,24909711,,POINT (2.4092344 48.8490158)
48.8475491,2.4089642,24909837,,POINT (2.4089642 48.8475491)
48.8473876,2.4108256,24909838,,POINT (2.4108256 48.8473876)
48.8467514,2.4106929,24909876,,POINT (2.4106929 48.8467514)
48.891664,2.3349628,24911706,traffic_signals,POINT (2.3349628 48.891664)
48.8297868,2.3339636,24912958,traffic_signals,POINT (2.3339636 48.8297868)
48.8239607,2.3309863,24913020,traffic_signals,POINT (2.3309863 48.8239607)
48.8247542,2.3312659,24913022,,POINT (2.3312659 48.8247542)
48.8244398,2.3235715,24923831,,POINT (2.3235715 48.8244398)
48.850604,2.392197,25001580,,POINT (2.392197 48.850604)
48.84304,2.4013441,25034634,,POINT (2.4013441 48.84304)
48.8519364,2.3491991,25095799,,POINT (2.3491991 48.8519364)
48.8517779,2.3495475,25095800,,POINT (2.3495475 48.8517779)
48.8512566,2.3508616,25095803,,POINT (2.3508616 48.8512566)
48.8507012,2.3525859,25096403,,POINT (2.3525859 48.8507012)
48.8542965,2.343185,25183526,,POINT (2.343185 48.8542965)
48.8564302,2.3399176,25188950,,POINT (2.3399176 48.8564302)
48.8578754,2.3362275,25188960,traffic_signals,POINT (2.3362275 48.8578754)
48.8592549,2.330205,25191280,,POINT (2.330205 48.8592549)
48.8624119,2.319843,25196659,traffic_signals,POINT (2.319843 48.8624119)
48.8714816,2.3430679,25207313,traffic_signals,POINT (2.3430679 48.8714816)
48.8639958,2.331343,25273200,,POINT (2.331343 48.8639958)
48.8643909,2.3301081,25273201,,POINT (2.3301081 48.8643909)
48.8646532,2.3292945,25273204,,POINT (2.3292945 48.8646532)
48.86603,2.3250212,25273212,,POINT (2.3250212 48.86603)
48.866311,2.3241619,25273213,,POINT (2.3241619 48.866311)
48.8402809,2.3927537,25290281,traffic_signals,POINT (2.3927537 48.8402809)
48.8624136,2.3362139,25554238,,POINT (2.3362139 48.8624136)
48.8614667,2.3391165,25554241,,POINT (2.3391165 48.8614667)
48.8612442,2.3398124,25554270,,POINT (2.3398124 48.8612442)
48.86079,2.3411956,25554421,,POINT (2.3411956 48.86079)
48.8593331,2.3456606,25554438,,POINT (2.3456606 48.8593331)
48.8575446,2.351262,25554702,,POINT (2.351262 48.8575446)
48.8566636,2.354968,25554707,,POINT (2.354968 48.8566636)
48.8580391,2.3147025,25580455,crossing,POINT (2.3147025 48.8580391)
48.8647608,2.3032775,25625641,,POINT (2.3032775 48.8647608)
48.864911,2.3103202,25667837,,POINT (2.3103202 48.864911)
48.8699298,2.3428068,26039860,,POINT (2.3428068 48.8699298)
48.8708585,2.3428676,26039986,,POINT (2.3428676 48.8708585)
48.8557121,2.3589671,26401640,,POINT (2.3589671 48.8557121)
48.8555466,2.3596832,26401641,,POINT (2.3596832 48.8555466)
48.8554573,2.3600815,26401645,traffic_signals,POINT (2.3600815 48.8554573)
48.8552039,2.3611386,26401646,,POINT (2.3611386 48.8552039)
48.8525851,2.3606854,26401687,,POINT (2.3606854 48.8525851)
48.8545998,2.3629491,26401823,,POINT (2.3629491 48.8545998)
48.8516523,2.3676404,26401905,traffic_signals,POINT (2.3676404 48.8516523)
48.8865752,2.3846662,26551705,,POINT (2.3846662 48.8865752)
48.8846667,2.3798078,26551740,traffic_signals,POINT (2.3798078 48.8846667)
48.8500511,2.3685676,26588388,,POINT (2.3685676 48.8500511)
48.8683824,2.2653483,27117332,,POINT (2.2653483 48.8683824)
48.8761839,2.2460934,27179722,,POINT (2.2460934 48.8761839)
48.8781537,2.2841274,27286652,,POINT (2.2841274 48.8781537)
48.8832702,2.3268037,27323836,traffic_signals,POINT (2.3268037 48.8832702)
48.8721471,2.2744898,27373192,,POINT (2.2744898 48.8721471)
48.8670768,2.2700375,27373249,,POINT (2.2700375 48.8670768)
48.8573693,2.3808514,30183255,,POINT (2.3808514 48.8573693)
48.856547,2.3822274,30183344,,POINT (2.3822274 48.856547)
48.8805087,2.3097772,30378220,crossing,POINT (2.3097772 48.8805087)
48.8803252,2.308573,30378221,,POINT (2.308573 48.8803252)
48.8248992,2.3184024,30560446,,POINT (2.3184024 48.8248992)
48.8229961,2.4427169,32176118,,POINT (2.4427169 48.8229961)
48.8228754,2.4425205,32176120,,POINT (2.4425205 48.8228754)
48.8228726,2.4422814,32176123,,POINT (2.4422814 48.8228726)
48.8229689,2.4420993,32176126,,POINT (2.4420993 48.8229689)
48.8231896,2.4420174,32176131,,POINT (2.4420174 48.8231896)
48.8259771,2.4410113,32176135,,POINT (2.4410113 48.8259771)
48.8278681,2.4403141,32176138,,POINT (2.4403141 48.8278681)
48.8326213,2.4386277,32176140,,POINT (2.4386277 48.8326213)
48.8344703,2.4379067,32176144,,POINT (2.4379067 48.8344703)
48.848125,2.2595582,34818779,,POINT (2.2595582 48.848125)
48.8485257,2.2578728,34818783,,POINT (2.2578728 48.8485257)
48.8428604,2.3123884,34909185,traffic_signals,POINT (2.3123884 48.8428604)
48.8378347,2.2715241,34909843,,POINT (2.2715241 48.8378347)
48.8386563,2.3145718,36470367,traffic_signals,POINT (2.3145718 48.8386563)
48.8361558,2.327225,36472069,,POINT (2.327225 48.8361558)
48.8363607,2.3266162,36472070,,POINT (2.3266162 48.8363607)
48.8366188,2.3258462,36472071,,POINT (2.3258462 48.8366188)
48.8372285,2.324019,36472072,,POINT (2.324019 48.8372285)
48.835165,2.3299977,36472843,traffic_signals,POINT (2.3299977 48.835165)
48.8402767,2.2951703,36483364,,POINT (2.2951703 48.8402767)
48.8915753,2.3496042,54775311,traffic_signals,POINT (2.3496042 48.8915753)
48.8679934,2.3785633,60913462,,POINT (2.3785633 48.8679934)
48.8689219,2.3804947,60913509,,POINT (2.3804947 48.8689219)
48.8684056,2.3795529,60913510,,POINT (2.3795529 48.8684056)
48.8278042,2.3052254,88201209,,POINT (2.3052254 48.8278042)
48.8837865,2.3642975,94109380,,POINT (2.3642975 48.8837865)
48.8818232,2.3630516,94111397,traffic_signals,POINT (2.3630516 48.8818232)
48.8827142,2.3622011,94111828,crossing,POINT (2.3622011 48.8827142)
48.8829144,2.3618291,94111829,,POINT (2.3618291 48.8829144)
48.883094,2.3714466,94113740,,POINT (2.3714466 48.883094)
48.8865588,2.3940539,94118484,,POINT (2.3940539 48.8865588)
48.8865172,2.3943304,94118486,,POINT (2.3943304 48.8865172)
48.8813283,2.3966895,94120406,traffic_signals,POINT (2.3966895 48.8813283)
48.8815729,2.3809187,94126798,,POINT (2.3809187 48.8815729)
48.8733666,2.4102403,94134793,,POINT (2.4102403 48.8733666)
48.8763077,2.3455815,94159491,traffic_signals,POINT (2.3455815 48.8763077)
48.8760313,2.3445179,94160057,,POINT (2.3445179 48.8760313)
48.8741531,2.3380849,94161174,traffic_signals,POINT (2.3380849 48.8741531)
48.8765952,2.3561613,94168454,traffic_signals,POINT (2.3561613 48.8765952)
48.8747843,2.3397888,94173335,,POINT (2.3397888 48.8747843)
48.8841431,2.3615417,94182914,,POINT (2.3615417 48.8841431)
