y,x,osmid,highway,geometry
52.3311643,4.915038,46204156,,POINT (4.915038 52.3311643)
52.3556228,4.8833623,46316021,,POINT (4.8833623 52.3556228)
52.3571027,4.9367983,46322645,,POINT (4.9367983 52.3571027)
52.3677125,4.8960227,46367895,,POINT (4.8960227 52.3677125)
52.3923544,4.9476013,46480845,,POINT (4.9476013 52.3923544)
52.3937613,4.9487259,46485778,,POINT (4.9487259 52.3937613)
52.3942106,4.9490709,46487464,,POINT (4.9490709 52.3942106)
52.4102702,4.9165953,46536614,,POINT (4.9165953 52.4102702)
52.4132705,4.9200248,46545986,,POINT (4.9200248 52.4132705)
52.3695468,4.9012037,70770295,,POINT (4.9012037 52.3695468)
52.3188166,4.9399477,73827254,,POINT (4.9399477 52.3188166)
52.3181454,4.9406304,73827715,,POINT (4.9406304 52.3181454)
52.3476518,5.0076071,75619296,,POINT (5.0076071 52.3476518)
52.347923,5.0079735,75619297,,POINT (5.0079735 52.347923)
52.3464999,5.0097732,75660446,,POINT (5.0097732 52.3464999)
52.3466162,5.0099406,75660522,,POINT (5.0099406 52.3466162)
52.3560077,4.8813615,139857711,,POINT (4.8813615 52.3560077)
52.3383449,4.8747154,300532286,,POINT (4.8747154 52.3383449)
52.3383498,4.8763606,300532287,,POINT (4.8763606 52.3383498)
52.373806,4.9230763,304072922,,POINT (4.9230763 52.373806)
52.3592734,4.8347498,1057884989,,POINT (4.8347498 52.3592734)
52.3695441,4.9012132,1307641930,,POINT (4.9012132 52.3695441)
52.3592748,4.8348368,1365177931,,POINT (4.8348368 52.3592748)
52.3738412,4.9229134,1587591517,,POINT (4.9229134 52.3738412)
52.3562189,4.8645422,1782385409,,POINT (4.8645422 52.3562189)
52.3562124,4.864393,1782385415,,POINT (4.864393 52.3562124)
52.3561256,4.8645559,1782423618,,POINT (4.8645559 52.3561256)
52.3561181,4.8644063,1782423619,,POINT (4.8644063 52.3561181)
52.3572591,4.9367881,2218460933,,POINT (4.9367881 52.3572591)
52.373835,4.9230177,3168516163,,POINT (4.9230177 52.373835)
52.338338,4.8764759,3564346137,,POINT (4.8764759 52.338338)
52.4112416,4.9175672,3753093622,,POINT (4.9175672 52.4112416)
52.4107526,4.9171923,3841812645,,POINT (4.9171923 52.4107526)
52.3939245,4.9488696,4279179780,,POINT (4.9488696 52.3939245)
52.4128943,4.919728,4296408732,,POINT (4.919728 52.4128943)
52.4122059,4.9188329,4296412957,,POINT (4.9188329 52.4122059)
52.4123053,4.9190164,4296412959,,POINT (4.9190164 52.4123053)
52.3739228,4.9230812,4573990130,,POINT (4.9230812 52.3739228)
52.3939875,4.9489223,4617949357,,POINT (4.9489223 52.3939875)
52.3937075,4.9486802,4617949358,,POINT (4.9486802 52.3937075)
52.3560838,4.8801542,4688508559,,POINT (4.8801542 52.3560838)
52.3676177,4.8959798,4835274328,,POINT (4.8959798 52.3676177)
52.3311747,4.9150692,6899164368,,POINT (4.9150692 52.3311747)
52.3701725,4.8883961,6316199,,POINT (4.8883961 52.3701725)
52.3663263,4.9261096,25645990,,POINT (4.9261096 52.3663263)
52.3659402,4.9308652,25658577,,POINT (4.9308652 52.3659402)
52.3645437,4.9304379,25658579,,POINT (4.9304379 52.3645437)
52.3699052,4.9187544,26596415,,POINT (4.9187544 52.3699052)
52.3711542,4.9153813,26596589,,POINT (4.9153813 52.3711542)
52.3675394,4.9257484,26603784,,POINT (4.9257484 52.3675394)
52.370305,4.8890932,26605707,,POINT (4.8890932 52.370305)
52.3830994,4.9103387,26632462,,POINT (4.9103387 52.3830994)
52.3838013,4.9158164,26654659,,POINT (4.9158164 52.3838013)
52.3837741,4.9160871,26654660,,POINT (4.9160871 52.3837741)
52.3866316,4.9129889,26672174,,POINT (4.9129889 52.3866316)
52.3611287,4.8738797,27562533,,POINT (4.8738797 52.3611287)
52.3546954,4.8545077,27589837,,POINT (4.8545077 52.3546954)
52.3590055,4.882021,28265319,,POINT (4.882021 52.3590055)
52.3608922,4.9754606,30118209,,POINT (4.9754606 52.3608922)
52.3482605,4.9472042,30119563,,POINT (4.9472042 52.3482605)
52.346987,4.9500334,30119578,,POINT (4.9500334 52.346987)
52.3493682,4.9509377,30119598,,POINT (4.9509377 52.3493682)
52.3493922,4.9512298,30119607,,POINT (4.9512298 52.3493922)
52.3500395,4.9499457,30119620,,POINT (4.9499457 52.3500395)
52.3884645,4.8473554,30138346,,POINT (4.8473554 52.3884645)
52.3865601,4.8658614,30138378,,POINT (4.8658614 52.3865601)
52.386302,4.8657755,30138382,,POINT (4.8657755 52.386302)
52.3647235,4.9480168,30153979,,POINT (4.9480168 52.3647235)
52.3894318,4.8472923,30167776,,POINT (4.8472923 52.3894318)
52.3887342,4.8473669,30167784,,POINT (4.8473669 52.3887342)
52.3920968,4.846916,30167790,,POINT (4.846916 52.3920968)
52.3921353,4.8487062,30167794,,POINT (4.8487062 52.3921353)
52.392858,4.8630835,30167814,,POINT (4.8630835 52.392858)
52.3936173,4.8660485,30168229,,POINT (4.8660485 52.3936173)
52.3934726,4.8658688,30168230,,POINT (4.8658688 52.3934726)
52.3829782,4.8934818,30170503,,POINT (4.8934818 52.3829782)
52.381471,4.8967378,30170512,,POINT (4.8967378 52.381471)
52.3783528,4.9052809,30170521,,POINT (4.9052809 52.3783528)
52.3393228,4.8472123,30210570,,POINT (4.8472123 52.3393228)
52.339395,4.8462245,30210580,,POINT (4.8462245 52.339395)
52.3386937,4.8484936,30210617,,POINT (4.8484936 52.3386937)
52.337219,4.8535719,30210647,,POINT (4.8535719 52.337219)
52.3394231,4.8550233,30210658,,POINT (4.8550233 52.3394231)
52.3335673,4.8988266,30225471,,POINT (4.8988266 52.3335673)
52.3170188,4.9405965,30330696,,POINT (4.9405965 52.3170188)
52.3414162,4.8655375,30337590,,POINT (4.8655375 52.3414162)
52.3428749,4.9209452,30664278,,POINT (4.9209452 52.3428749)
52.3394185,4.9285495,30664290,,POINT (4.9285495 52.3394185)
52.337909,4.935994,30664296,,POINT (4.935994 52.337909)
52.337121,4.9431823,30664303,,POINT (4.9431823 52.337121)
52.3220278,4.8703933,30751242,,POINT (4.8703933 52.3220278)
52.3337851,4.8930215,30751269,,POINT (4.8930215 52.3337851)
52.3293676,4.9035556,30751275,,POINT (4.9035556 52.3293676)
52.33562,4.8541774,30802573,,POINT (4.8541774 52.33562)
52.3340535,4.8547822,30802581,,POINT (4.8547822 52.3340535)
52.3337084,4.8548904,30802585,,POINT (4.8548904 52.3337084)
52.3319767,4.8553462,30802588,,POINT (4.8553462 52.3319767)
52.3414712,4.8680779,30813346,,POINT (4.8680779 52.3414712)
52.3408536,4.8681538,30813347,,POINT (4.8681538 52.3408536)
52.3411689,4.8764561,30813357,,POINT (4.8764561 52.3411689)
52.3406316,4.8766967,30813362,,POINT (4.8766967 52.3406316)
52.3406427,4.8772513,30813363,,POINT (4.8772513 52.3406427)
52.3406359,4.8833459,30813378,,POINT (4.8833459 52.3406359)
52.3410852,4.8845471,30813388,,POINT (4.8845471 52.3410852)
52.3444509,4.8848696,30813405,,POINT (4.8848696 52.3444509)
52.3370036,4.9433904,30917192,,POINT (4.9433904 52.3370036)
52.3930143,4.8673493,31008878,,POINT (4.8673493 52.3930143)
52.3936914,4.8639795,31008886,,POINT (4.8639795 52.3936914)
52.3928824,4.8727582,31008901,,POINT (4.8727582 52.3928824)
52.3873611,4.9143299,31101264,,POINT (4.9143299 52.3873611)
52.3904931,4.9182201,31101269,,POINT (4.9182201 52.3904931)
52.3994702,4.920654,31101317,,POINT (4.920654 52.3994702)
52.3571913,4.8524264,31190814,,POINT (4.8524264 52.3571913)
52.3631266,4.8499841,31240638,,POINT (4.8499841 52.3631266)
52.3597147,4.8494986,31240640,,POINT (4.8494986 52.3597147)
52.3587776,4.8495228,31240641,,POINT (4.8495228 52.3587776)
52.3583517,4.8441757,31296306,,POINT (4.8441757 52.3583517)
52.3597906,4.847992,31296309,,POINT (4.847992 52.3597906)
52.3604928,4.8476513,31296310,,POINT (4.8476513 52.3604928)
52.3646502,4.8475416,31296318,,POINT (4.8475416 52.3646502)
52.3655323,4.8475317,31296320,,POINT (4.8475317 52.3655323)
52.3681557,4.8484116,31296325,,POINT (4.8484116 52.3681557)
52.3684244,4.848392,31296326,,POINT (4.848392 52.3684244)
52.3634391,4.8479023,31296336,,POINT (4.8479023 52.3634391)
52.3699914,4.8477285,31427265,,POINT (4.8477285 52.3699914)
52.3629908,4.9802204,31432728,,POINT (4.9802204 52.3629908)
52.3607256,4.9845064,31432735,,POINT (4.9845064 52.3607256)
52.3522978,4.9223092,33057073,,POINT (4.9223092 52.3522978)
52.4253265,4.9905017,33716234,,POINT (4.9905017 52.4253265)
52.3801192,4.9723244,33770662,,POINT (4.9723244 52.3801192)
52.2789259,4.9606387,45994930,,POINT (4.9606387 52.2789259)
52.2802506,4.9556693,46000235,,POINT (4.9556693 52.2802506)
52.28268,4.9649989,46009635,,POINT (4.9649989 52.28268)
52.2910896,4.9778279,46041968,,POINT (4.9778279 52.2910896)
52.2914915,4.9914164,46043627,,POINT (4.9914164 52.2914915)
